(@unid,unid)
(getDocumentAsync,GetDocumentAsync)
(saveDocumentAsync,SaveDocumentAsync)
(deleteDocumentAsync,DeleteDocumentAsync)
(makeResponseDocumentAsync,MakeResponseDocumentAsync)
(searchNsfAsync,SearchNsfAsync)
(sinitThread,sinitThread)
(stermThread,stermThread)
(openDatabase,openDatabase)
(closeDatabase,closeDatabase)
(getDatabaseName,getDatabaseName)
(replicationSummary,replicationSummary)
(getNotesNote,getNotesNote)
(getNoteById,getNoteById)
(getNoteID,getNoteID)
(createNotesNote,createNotesNote)
(closeNote,closeNote)
(updateNote,updateNote)
(getNoteUNID,getNoteUNID)
(getItemText,getItemText)
(hasItem,hasItem)
(setItemText,setItemText)
(setAuthor,setAuthor)
(setItemValue,setItemValue)
(getItemNumber,getItemNumber)
(setItemNumber,setItemNumber)
(getItemDate,getItemDate)
(setItemDate,setItemDate)
(getItemValue,getItemValue)
(appendItemTextList,appendItemTextList)
(getMimeItem,getMimeItem)
(setMimeItem,setMimeItem)
(deleteItem,deleteItem)
(createDatabase,createDatabase)
(deleteDatabase,deleteDatabase)
(getViewAsync,GetViewAsync)
(initSession,InitDominoSession)
(termSession,TermDominoSession)
