(pinMode,pinMode)
(pinWrite,pinWrite)
(pinRead,pinRead)
(begin,begin)
(write,write)
(print,print)
(command,command)
(data,data)
(setColumnAddress,setColumnAddress)
(setPageAddress,setPageAddress)
(clear,clear)
(invert,invert)
(contrast,contrast)
(display,display)
(setCursor,setCursor)
(pixel,pixel)
(line,line)
(lineH,lineH)
(lineV,lineV)
(rect,rect)
(rectFill,rectFill)
(circle,circle)
(circleFill,circleFill)
(drawChar,drawChar)
(drawBitmap,drawBitmap)
(getLCDWidth,getLCDWidth)
(getLCDHeight,getLCDHeight)
(setColor,setColor)
(setDrawMode,setDrawMode)
(getFontWidth,getFontWidth)
(getFontHeight,getFontHeight)
(getTotalFonts,getTotalFonts)
(getFontType,getFontType)
(setFontType,setFontType)
(getFontStartChar,getFontStartChar)
(getFontTotalChar,getFontTotalChar)
(scrollStop,scrollStop)
(flipVertical,flipVertical)
(flipHorizontal,flipHorizontal)
(transferData,transferData)
(customCS,customCS)
(CSLow,CSLow)
(CSHigh,CSHigh)
(doLSBFirst,doLSBFirst)
(getSPIMode,getSPIMode)
