(setDebugLevel,SetDebugLevel)
(getDeviceList,GetDeviceList)
(_enableHotplugEvents,EnableHotplugEvents)
(_disableHotplugEvents,DisableHotplugEvents)
(__getConfigDescriptor,Device_GetConfigDescriptor)
(__open,Device_Open)
(__close,Device_Close)
(__claimInterface,Device_ClaimInterface)
(__isKernelDriverActive,IsKernelDriverActive)
(__detachKernelDriver,DetachKernelDriver)
(__attachKernelDriver,AttachKernelDriver)
(submit,Transfer_Submit)
(cancel,Transfer_Cancel)
(INIT_ERROR,res)
(34,size)
(28,size)
