(connect4,Connect4)
(connect6,Connect6)
(setCallbacks,SetCallbacks)
(close,Close)
(forceClose,ForceClose)
(closeOrForceClose,CloseOrForceClose)
(send,Send)
(hasIssuedConnectionWarning,HasIssuedConnectionWarning)
(getSocket,GetSocket)
(getAddressType,GetAddressType)
(getLocalPort,GetLocalPort)
(getLocalAddress,GetLocalAddress)
(getRemotePort,GetRemotePort)
(getRemoteAddress,GetRemoteAddress)
(getInboundPort,GetInboundPort)
(isOpen,IsOpen)
(isOpening,IsOpening)
(getP2PState,GetP2PState)
(getPort,GetPort)
(getAddress,GetAddress)
(generateCookiePair,GenerateCookiePair)
(generateSharedSecret,GenerateSharedSecret)
(setP2PCallbacks,SetCallbacks)
