(on,on)
(setLogLevel,setLogLevel)
(enableCallbacks,enableCallbacks)
(disableCallbacks,disableCallbacks)
(initialize,initialize)
(shutdown,shutdown)
(start,start)
(stop,stop)
(createGroup,createGroup)
(deleteGroup,deleteGroup)
(joinGroup,joinGroup)
(leaveGroup,leaveGroup)
(beginGroupTx,beginGroupTx)
(beginGroupTxAdvanced,beginGroupTxAdvanced)
(endGroupTx,endGroupTx)
(setGroupRxTag,setGroupRxTag)
(muteGroupRx,muteGroupRx)
(unmuteGroupRx,unmuteGroupRx)
(muteGroupTx,muteGroupTx)
(unmuteGroupTx,unmuteGroupTx)
(setGroupRxVolume,setGroupRxVolume)
(queryGroupTimeline,queryGroupTimeline)
(updatePresenceDescriptor,updatePresenceDescriptor)
(encrypt,encrypt)
(decrypt,decrypt)
(updateLicense,updateLicense)
(getVersion,getVersion)
(getNetworkInterfaceDevices,getNetworkInterfaceDevices)
(getAudioDevices,getAudioDevices)
(getActiveLicenseDescriptor,getActiveLicenseDescriptor)
(getLicenseDescriptor,getLicenseDescriptor)
(openCertStore,openCertStore)
(closeCertStore,closeCertStore)
(generateMission,generateMission)
(setMissionId,setMissionId)
