(on,on)
(setLogLevel,setLogLevel)
(enableCallbacks,enableCallbacks)
(disableCallbacks,disableCallbacks)
(initialize,initialize)
(shutdown,shutdown)
(start,start)
(stop,stop)
(createGroup,createGroup)
(deleteGroup,deleteGroup)
(joinGroup,joinGroup)
(leaveGroup,leaveGroup)
(setGroupRules,setGroupRules)
(beginGroupTx,beginGroupTx)
(beginGroupTxAdvanced,beginGroupTxAdvanced)
(endGroupTx,endGroupTx)
(setGroupRxTag,setGroupRxTag)
(muteGroupRx,muteGroupRx)
(unmuteGroupRx,unmuteGroupRx)
(muteGroupTx,muteGroupTx)
(unmuteGroupTx,unmuteGroupTx)
(setGroupRxVolume,setGroupRxVolume)
(queryGroupTimeline,queryGroupTimeline)
(updatePresenceDescriptor,updatePresenceDescriptor)
(encrypt,encrypt)
(decrypt,decrypt)
(updateLicense,updateLicense)
(getVersion,getVersion)
(getHardwareReport,getHardwareReport)
(getNetworkInterfaceDevices,getNetworkInterfaceDevices)
(getAudioDevices,getAudioDevices)
(getActiveLicenseDescriptor,getActiveLicenseDescriptor)
(getLicenseDescriptor,getLicenseDescriptor)
(openCertStore,openCertStore)
(closeCertStore,closeCertStore)
(setCertStore,setCertStore)
(setCertStoreCertificatePem,setCertStoreCertificatePem)
(setCertStoreCertificateP12,setCertStoreCertificateP12)
(deleteCertStoreCertificate,deleteCertStoreCertificate)
(getCertStoreCertificatePem,getCertStoreCertificatePem)
(getCertificateDescriptorFromPem,getCertificateDescriptorFromPem)
(importCertStoreElementFromCertStore,importCertStoreElementFromCertStore)
(queryCertStoreContents,queryCertStoreContents)
(setCertStoreCertificateTags,setCertStoreCertificateTags)
(generateMission,generateMission)
(generateMissionUsingCertStore,generateMissionUsingCertStore)
(setMissionId,setMissionId)
(platformNotifyChanges,platformNotifyChanges)
(logMsg,logMsg)
(hookEngineLogging,hookEngineLogging)
(setFipsCrypto,setFipsCrypto)
(isCryptoFipsValidated,isCryptoFipsValidated)
(getDeviceId,getDeviceId)
(verifyRiff,verifyRiff)
(getRiffDescriptor,getRiffDescriptor)
(beginGroupPcmPowerTracking,beginGroupPcmPowerTracking)
(endGroupPcmPowerTracking,endGroupPcmPowerTracking)
(createBridge,createBridge)
(deleteBridge,deleteBridge)
