(prepare,JS_prepare)
(exec,JS_exec)
(pragma,JS_pragma)
(checkpoint,JS_checkpoint)
(backup,JS_backup)
(function,JS_function)
(aggregate,JS_aggregate)
(loadExtension,JS_loadExtension)
(close,JS_close)
(defaultSafeIntegers,JS_defaultSafeIntegers)
(run,JS_run)
(get,JS_get)
(all,JS_all)
(iterate,JS_iterate)
(bind,JS_bind)
(pluck,JS_pluck)
(expand,JS_expand)
(raw,JS_raw)
(safeIntegers,JS_safeIntegers)
(columns,JS_columns)
(next,JS_next)
(return,JS_return)
(transfer,JS_transfer)
(add,Add)
(subtract,Subtract)
(multiply,Multiply)
(divide,Divide)
(modulo,Modulo)
(negate,Negate)
(abs,Abs)
(and,And)
(or,Or)
(xor,Xor)
(not,Not)
(shiftLeft,ShiftLeft)
(shiftRight,ShiftRight)
(equals,Equals)
(notEquals,NotEquals)
(greaterThan,GreaterThan)
(greaterThanOrEquals,GreaterThanOrEquals)
(lessThan,LessThan)
(lessThanOrEquals,LessThanOrEquals)
(compare,Compare)
(bitSizeAbs,BitSizeAbs)
(isEven,IsEven)
(isOdd,IsOdd)
(isPositive,IsPositive)
(isNegative,IsNegative)
(isZero,IsZero)
(isNonZero,IsNonZero)
(isSafe,IsSafe)
(isUnsafe,IsUnsafe)
(toNumberUnsafe,ToNumberUnsafe)
(toString,ToString)
(valueOf,ValueOf)
(fromString,FromString)
(fromNumber,FromNumber)
(fromBits,FromBits)
(isInstance,IsInstance)
