(getName,GetName)
(setName,SetName)
(cellType,CellType)
(readString,ReadString)
(writeString,WriteString)
(size,Size)
(setSize,SetSize)
(italic,Italic)
(setItalic,SetItalic)
(strikeOut,StrikeOut)
(setStrikeOut,SetStrikeOut)
(color,Color)
(setColor,SetColor)
(bold,Bold)
(setBold,SetBold)
(script,Script)
(setScript,SetScript)
(underline,Underline)
(setUnderline,SetUnderline)
(name,Name)
(load,Load)
(loadSync,LoadSync)
(save,Save)
(saveSync,SaveSync)
(release,Release)
(setKey,SetKey)
(addSheet,AddSheet)
(insertSheet,InsertSheet)
(getSheet,GetSheet)
(deleteSheet,DeleteSheet)
(sheetCount,SheetCount)
(addFormat,AddFormat)
(format,Format)
(formatSize,FormatSize)
(addFont,AddFont)
(font,Font)
(fontSize,FontSize)
