(defaultValue,DefaultValueGetter)
(maxValue,MaxValueGetter)
(minValue,MinValueGetter)
(setValueAtTime,SetValueAtTime)
(linearRampToValueAtTime,LinearRampToValueAtTime)
(exponentialRampToValueAtTime,ExponentialRampToValueAtTime)
(setTargetAtTime,SetTargetAtTime)
(setValueCurveAtTime,SetValueCurveAtTime)
(cancelScheduledValues,CancelScheduledValues)
(cancelAndHoldAtTime,CancelAndHoldAtTime)
(load,Load)
(update,Update)
(play,Play)
(pause,Pause)
(width,WidthGetter)
(height,HeightGetter)
(data,DataGetter)
(duration,DurationGetter)
(destroy,Destroy)
(getWindowHandle,GetWindowHandle)
(setWindowHandle,SetWindowHandle)
(isDirty,IsDirty)
(clearDirty,ClearDirty)
(blendColor,BlendColor)
(blendEquationSeparate,BlendEquationSeparate)
(blendFuncSeparate,BlendFuncSeparate)
(clearStencil,ClearStencil)
(colorMask,ColorMask)
(copyTexImage2D,CopyTexImage2D)
(copyTexSubImage2D,CopyTexSubImage2D)
(cullFace,CullFace)
(depthMask,DepthMask)
(depthRange,DepthRange)
(disableVertexAttribArray,DisableVertexAttribArray)
(hint,Hint)
(isEnabled,IsEnabled)
(lineWidth,LineWidth)
(polygonOffset,PolygonOffset)
(scissor,Scissor)
(stencilFunc,StencilFunc)
(stencilFuncSeparate,StencilFuncSeparate)
(stencilMask,StencilMask)
(stencilMaskSeparate,StencilMaskSeparate)
(stencilOp,StencilOp)
(stencilOpSeparate,StencilOpSeparate)
(bindRenderbuffer,BindRenderbuffer)
(createRenderbuffer,CreateRenderbuffer)
(deleteBuffer,DeleteBuffer)
(deleteFramebuffer,DeleteFramebuffer)
(deleteProgram,DeleteProgram)
(deleteRenderbuffer,DeleteRenderbuffer)
(deleteShader,DeleteShader)
(deleteTexture,DeleteTexture)
(detachShader,DetachShader)
(framebufferRenderbuffer,FramebufferRenderbuffer)
(getVertexAttribOffset,GetVertexAttribOffset)
(setDefaultFramebuffer,SetDefaultFramebuffer)
(drawArraysInstancedANGLE,DrawArraysInstancedANGLE)
(drawElementsInstancedANGLE,DrawElementsInstancedANGLE)
(vertexAttribDivisorANGLE,VertexAttribDivisorANGLE)
(drawBuffersWEBGL,DrawBuffersWEBGL)
(load,LoadMethod)
(connect,Connect)
(disconnect,Disconnect)
(context,ContextGetter)
(numberOfInputsGetter,NumberOfInputsGetter)
(numberOfOutputsGetter,NumberOfOutputsGetter)
(channelCount,ChannelCountGetter)
(channelCountMode,ChannelCountModeGetter)
(channelInterpretation,ChannelInterpretationGetter)
(setPath,SetPath)
(setPosition,SetPosition)
(setOrientation,SetOrientation)
(close,Close)
(createMediaElementSource,CreateMediaElementSource)
(createMediaStreamSource,CreateMediaStreamSource)
(createMediaStreamDestination,CreateMediaStreamDestination)
(createMediaStreamTrackSource,CreateMediaStreamTrackSource)
(createGain,CreateGain)
(createAnalyser,CreateAnalyser)
(createPanner,CreatePanner)
(createStereoPanner,CreateStereoPanner)
(currentTime,CurrentTimeGetter)
(sampleRate,SampleRateGetter)
(scale,Scale)
(rotate,Rotate)
(translate,Translate)
(transform,Transform)
(setTransform,SetTransform)
(resetTransform,ResetTransform)
(measureText,MeasureText)
(beginPath,BeginPath)
(closePath,ClosePath)
(clip,Clip)
(stroke,Stroke)
(fill,Fill)
(moveTo,MoveTo)
(lineTo,LineTo)
(arc,Arc)
(arcTo,ArcTo)
(rect,Rect)
(fillRect,FillRect)
(strokeRect,StrokeRect)
(clearRect,ClearRect)
(fillText,FillText)
(strokeText,StrokeText)
(createLinearGradient,CreateLinearGradient)
(createRadialGradient,CreateRadialGradient)
(createPattern,CreatePattern)
(resize,Resize)
(drawImage,DrawImage)
(createImageData,CreateImageData)
(getImageData,GetImageData)
(putImageData,PutImageData)
(maxChannelCount,MaxChannelCountGetter)
(addColorStop,AddColorStop)
(WaitGetPoses,WaitGetPoses)
(Submit,Submit)
(quadraticCurveTo,QuadraticCurveTo)
(clear,Clear)
(GetRecommendedRenderTargetSize,GetRecommendedRenderTargetSize)
(GetProjectionMatrix,GetProjectionMatrix)
(GetProjectionRaw,GetProjectionRaw)
(ComputeDistortion,ComputeDistortion)
(GetEyeToHeadTransform,GetEyeToHeadTransform)
(GetTimeSinceLastVsync,GetTimeSinceLastVsync)
(GetD3D9AdapterIndex,GetD3D9AdapterIndex)
(GetDXGIOutputInfo,GetDXGIOutputInfo)
(IsDisplayOnDesktop,IsDisplayOnDesktop)
(SetDisplayVisibility,SetDisplayVisibility)
(GetDeviceToAbsoluteTrackingPose,GetDeviceToAbsoluteTrackingPose)
(ResetSeatedZeroPose,ResetSeatedZeroPose)
(GetSeatedZeroPoseToStandingAbsoluteTrackingPose,GetSeatedZeroPoseToStandingAbsoluteTrackingPose)
(GetRawZeroPoseToStandingAbsoluteTrackingPose,GetRawZeroPoseToStandingAbsoluteTrackingPose)
(GetSortedTrackedDeviceIndicesOfClass,GetSortedTrackedDeviceIndicesOfClass)
(GetTrackedDeviceActivityLevel,GetTrackedDeviceActivityLevel)
(ApplyTransform,ApplyTransform)
(GetTrackedDeviceClass,GetTrackedDeviceClass)
(GetControllerState,GetControllerState)
(AcknowledgeQuit_Exiting,AcknowledgeQuit_Exiting)
(AcknowledgeQuit_UserPrompt,AcknowledgeQuit_UserPrompt)
(frequencyBinCount,FrequencyBinCountGetter)
(minDecibels,MinDecibelsGetter)
(maxDecibels,MaxDecibelsGetter)
(smoothingTimeConstant,SmoothingTimeConstantGetter)
(getFloatFrequencyData,GetFloatFrequencyData)
(getByteFrequencyData,GetByteFrequencyData)
(getFloatTimeDomainData,GetFloatTimeDomainData)
(getByteTimeDomainData,GetByteTimeDomainData)
(updateAll,UpdateAll)
(NewCompositor,NewCompositor)
(VR_Init,VR_Init)
(VR_Shutdown,VR_Shutdown)
(VR_IsHmdPresent,VR_IsHmdPresent)
(VR_IsRuntimeInstalled,VR_IsRuntimeInstalled)
(VR_RuntimePath,VR_RuntimePath)
(VR_GetVRInitErrorAsSymbol,VR_GetVRInitErrorAsSymbol)
(VR_GetVRInitErrorAsEnglishDescription,VR_GetVRInitErrorAsEnglishDescription)
