(train,Train)
(cascadetrain,CascadeTrain)
(train_once,TrainOnce)
(run,Run)
(save,SaveToFile)
(activation_function,ActivationFunction)
(activation_function_hidden,ActivationFunctionHidden)
(activation_function_output,ActivationFunctionOutput)
(get_num_input,GetNumInput)
(get_MSE,GetMse)
(get_num_output,GetNumOutput)
(get_total_neurons,GetTotalNeurons)
(get_total_connections,GetTotalConnections)
(get_network_type,GetNetworkType)
(get_connection_rate,GetConnectionRate)
(get_num_layers,GetNumLayers)
(get_layer_array,GetLayerArray)
(get_bias_array,GetBiasArray)
(get_weight_array,GetWeights)
(set_weight_array,SetWeights)
(get_weight,GetWeights)
(set_weight,SetWeights)
(get_all_training_algorithms,GetTrainingAlgorithmList)
(get_all_activation_functions,GetActivationFunctionList)
(get_all_network_types,GetNetworkTypeList)
(get_all_stop_functions,GetStopFuncList)
(get_all_error_functions,GetErrorFuncList)
(set_weight_array,SetWeights)
(set_weight,SetWeights)
(layers,GetLayerArray)
