(printConnections,printConnections)
(printParameters,printParameters)
(randomizeWeights,randomizeWeights)
(save,save)
(saveToFixed,saveToFixed)
(setCallback,setCallback)
(trainEpoch,trainEpoch)
(trainOnData,trainOnData)
(trainOnFile,trainOnFile)
(cascadetrainOnData,cascadetrainOnData)
(cascadetrainOnFile,cascadetrainOnFile)
(run,run)
(getTrainingAlgorithm,getTrainingAlgorithm)
(setTrainingAlgorithm,setTrainingAlgorithm)
(getTrainErrorFunction,getTrainErrorFunction)
(setTrainErrorFunction,setTrainErrorFunction)
(getTrainStopFunction,getTrainStopFunction)
(setTrainStopFunction,setTrainStopFunction)
(getLearningRate,getLearningRate)
(setLearningRate,setLearningRate)
(getActivationFunction,getActivationFunction)
(setActivationFunction,setActivationFunction)
(setActivationFunctionLayer,setActivationFunctionLayer)
(setActivationFunctionHidden,setActivationFunctionHidden)
(setActivationFunctionOutput,setActivationFunctionOutput)
(getNumInput,getNumInput)
(getNumOutput,getNumOutput)
(getTotalNeurons,getTotalNeurons)
(getTotalConnections,getTotalConnections)
(getConnectionArray,getConnectionArray)
(getNumLayers,getNumLayers)
(getBitFail,getBitFail)
(getBitFailLimit,getBitFailLimit)
(setBitFailLimit,setBitFailLimit)
(getMSE,getMSE)
(resetMSE,resetMSE)
(getQuickpropDecay,getQuickpropDecay)
(getQuickpropMu,getQuickpropMu)
(getRpropIncreaseFactor,getRpropIncreaseFactor)
(getRpropDecreaseFactor,getRpropDecreaseFactor)
(getRpropDeltaZero,getRpropDeltaZero)
(getRpropDeltaMin,getRpropDeltaMin)
(getRpropDeltaMax,getRpropDeltaMax)
(runAsync,runAsync)
(initWeights,initWeights)
(testData,testData)
(getLayerArray,getLayerArray)
(getBiasArray,getBiasArray)
(train,train)
(test,test)
(scaleTrain,scaleTrain)
(descaleTrain,descaleTrain)
(clearScalingParams,clearScalingParams)
(setInputScalingParams,setInputScalingParams)
(setOutputScalingParams,setOutputScalingParams)
(setScalingParams,setScalingParams)
(scaleInput,scaleInput)
(scaleOutput,scaleOutput)
(descaleInput,descaleInput)
(descaleOutput,descaleOutput)
(getCascadeActivationFunctions,getCascadeActivationFunctions)
(setCascadeActivationFunctions,setCascadeActivationFunctions)
(getCascadeActivationSteepnesses,getCascadeActivationSteepnesses)
(setCascadeActivationSteepnesses,setCascadeActivationSteepnesses)
(getCascadeOutputChangeFraction,getCascadeOutputChangeFraction)
(getCascadeOutputStagnationEpochs,getCascadeOutputStagnationEpochs)
(getCascadeCandidateChangeFraction,getCascadeCandidateChangeFraction)
(getCascadeCandidateStagnationEpochs,getCascadeCandidateStagnationEpochs)
(getCascadeWeightMultiplier,getCascadeWeightMultiplier)
(getCascadeCandidateLimit,getCascadeCandidateLimit)
(getCascadeMaxOutEpochs,getCascadeMaxOutEpochs)
(getCascadeMaxCandEpochs,getCascadeMaxCandEpochs)
(getCascadeNumCandidateGroups,getCascadeNumCandidateGroups)
(setCascadeOutputChangeFraction,setCascadeOutputChangeFraction)
(setCascadeOutputStagnationEpochs,setCascadeOutputStagnationEpochs)
(setCascadeCandidateChangeFraction,setCascadeCandidateChangeFraction)
(setCascadeCandidateStagnationEpochs,setCascadeCandidateStagnationEpochs)
(setCascadeWeightMultiplier,setCascadeWeightMultiplier)
(setCascadeCandidateLimit,setCascadeCandidateLimit)
(setCascadeMaxOutEpochs,setCascadeMaxOutEpochs)
(setCascadeMaxCandEpochs,setCascadeMaxCandEpochs)
(setCascadeNumCandidateGroups,setCascadeNumCandidateGroups)
(setQuickpropDecay,setQuickpropDecay)
(setQuickpropMu,setQuickpropMu)
(setRpropIncreaseFactor,setRpropIncreaseFactor)
(setRpropDecreaseFactor,setRpropDecreaseFactor)
(setRpropDeltaZero,setRpropDeltaZero)
(setRpropDeltaMin,setRpropDeltaMin)
(setRpropDeltaMax,setRpropDeltaMax)
(getSarpropWeightDecayShift,getSarpropWeightDecayShift)
(getSarpropStepErrorThresholdFactor,getSarpropStepErrorThresholdFactor)
(getSarpropStepErrorShift,getSarpropStepErrorShift)
(getSarpropTemperature,getSarpropTemperature)
(getLearningMomentum,getLearningMomentum)
(setSarpropWeightDecayShift,setSarpropWeightDecayShift)
(setSarpropStepErrorThresholdFactor,setSarpropStepErrorThresholdFactor)
(setSarpropStepErrorShift,setSarpropStepErrorShift)
(setSarpropTemperature,setSarpropTemperature)
(setLearningMomentum,setLearningMomentum)
(getActivationSteepness,getActivationSteepness)
(setActivationSteepness,setActivationSteepness)
(setActivationSteepnessLayer,setActivationSteepnessLayer)
(setActivationSteepnessHidden,setActivationSteepnessHidden)
(setActivationSteepnessOutput,setActivationSteepnessOutput)
(setWeightArray,setWeightArray)
(setWeight,setWeight)
(getUserDataString,getUserDataString)
(setUserDataString,setUserDataString)
(readTrainFromFile,readTrainFromFile)
(saveTrain,saveTrain)
(saveTrainToFixed,saveTrainToFixed)
(scaleInputTrainData,scaleInputTrainData)
(scaleOutputTrainData,scaleOutputTrainData)
(scaleTrainData,scaleTrainData)
(subsetTrainData,subsetTrainData)
(shuffle,shuffle)
(merge,merge)
(length,length)
(numInput,numInput)
(numOutput,numOutput)
(getInput,getInput)
(getOutput,getOutput)
(getTrainInput,getTrainInput)
(getTrainOutput,getTrainOutput)
(setTrainData,setTrainData)
(getMinInput,getMinInput)
(getMaxInput,getMaxInput)
(getMinOutput,getMinOutput)
(getMaxOutput,getMaxOutput)
