(build_indexes,build_indexes)
(purge_indexes,purge_indexes)
(build_index,build_index)
(purge_index,purge_index)
(reorder_partition,reorder_partition)
(build_query,build_query)
(destroy_query,destroy_query)
(get_result_columns,get_result_columns)
(get_result_rows,get_result_rows)
(get_result_row_ids,get_result_row_ids)
(get_select_clause,get_select_clause)
(get_from_clause,get_from_clause)
(get_where_clause,get_where_clause)
(get_qualified_floats,get_qualified_floats)
(get_qualified_doubles,get_qualified_doubles)
(get_qualified_bytes,get_qualified_bytes)
(get_qualified_shorts,get_qualified_shorts)
(get_qualified_ints,get_qualified_ints)
(get_qualified_longs,get_qualified_longs)
(get_qualified_ubytes,get_qualified_ubytes)
(get_qualified_ushorts,get_qualified_ushorts)
(get_qualified_uints,get_qualified_uints)
(get_qualified_ulongs,get_qualified_ulongs)
(get_qualified_strings,get_qualified_strings)
(build_result_set,build_result_set)
(destroy_result_set,destroy_result_set)
(result_set_next,result_set_next)
(result_set_next_bundle,result_set_next_bundle)
(result_set_get_int,result_set_get_int)
(result_set_get_unsigned,result_set_get_unsigned)
(result_set_get_long,result_set_get_long)
(result_set_get_float,result_set_get_float)
(result_set_get_double,result_set_get_double)
(result_set_get_string,result_set_get_string)
(result_set_getInt,result_set_getInt)
(result_set_getUnsigned,result_set_getUnsigned)
(result_set_getLong,result_set_getLong)
(result_set_getFloat,result_set_getFloat)
(result_set_getDouble,result_set_getDouble)
(result_set_getString,result_set_getString)
(flush_buffer,flush_buffer)
(add_values,add_values)
(rows_in_partition,rows_in_partition)
(columns_in_partition,columns_in_partition)
(init,init)
(cleanup,cleanup)
(set_verbose_level,set_verbose_level)
(get_verbose_level,get_verbose_level)
(set_logfile,set_logfile)
(get_logfile,get_logfile)
(get_logfilepointer,get_logfilepointer)
(read_clock,read_clock)
(get_version_string,get_version_string)
(get_version_number,get_version_number)
