(strtoul,Strtoul)
(set_cb,SetCb)
(call_cb,CallCb)
(call_cb_async,CallCbAsync)
(ffi_prep_cif,FFIPrepCif)
(ffi_prep_cif_var,FFIPrepCifVar)
(ffi_call,FFICall)
(ffi_call_async,FFICallAsync)
(address,Address)
(isNull,IsNull)
(readObject,ReadObject)
(writeObject,WriteObject)
(readPointer,ReadPointer)
(writePointer,WritePointer)
(readInt64,ReadInt64)
(writeInt64,WriteInt64)
(readUInt64,ReadUInt64)
(writeUInt64,WriteUInt64)
(readCString,ReadCString)
(reinterpret,ReinterpretBuffer)
(reinterpretUntilZeros,ReinterpretBufferUntilZeros)
(Callback,Callback)
