(execSync,ExecSync)
(execInTransSync,ExecInTransSync)
(exec,Exec)
(execInTrans,ExecInTrans)
(_readSync,ReadSync)
(_read,Read)
(_openSync,OpenSync)
(_closeSync,CloseSync)
(_writeSync,WriteSync)
(_write,Write)
(inAsyncCall,InAsyncGetter)
(isReadable,IsReadGetter)
(commit,Commit)
(rollback,Rollback)
(start,Start)
(commitSync,CommitSync)
(rollbackSync,RollbackSync)
(startSync,StartSync)
(querySync,QuerySync)
(query,Query)
(prepareSync,PrepareSync)
(inTransaction,InTransactionGetter)
(connectSync,ConnectSync)
(connect,Connect)
(disconnect,Disconnect)
(addFBevent,addEvent)
(deleteFBevent,deleteEvent)
(newBlobSync,NewBlobSync)
(startTransactionSync,StartSync)
(startTransaction,Start)
(startNewTransactionSync,StartNewTransSync)
(startNewTransaction,StartNewTrans)
(connected,ConnectedGetter)
(fetchSync,FetchSync)
(fetch,Fetch)
