(fetchSync,FetchSync)
(fetch,Fetch)
(inAsyncCall,InAsyncGetter)
(execSync,ExecSync)
(execInTransSync,ExecInTransSync)
(exec,Exec)
(execInTrans,ExecInTrans)
(connectSync,ConnectSync)
(connect,Connect)
(querySync,QuerySync)
(query,Query)
(disconnect,Disconnect)
(commitSync,CommitSync)
(commit,Commit)
(rollbackSync,RollbackSync)
(rollback,Rollback)
(addFBevent,addEvent)
(deleteFBevent,deleteEvent)
(prepareSync,PrepareSync)
(newBlobSync,NewBlobSync)
(startTransactionSync,StartSync)
(startTransaction,Start)
(startNewTransactionSync,StartNewTransSync)
(startNewTransaction,StartNewTrans)
(connected,ConnectedGetter)
(inTransaction,InTransactionGetter)
(_readSync,ReadSync)
(_read,Read)
(_openSync,OpenSync)
(_closeSync,CloseSync)
(_writeSync,WriteSync)
(_write,Write)
(isReadable,IsReadGetter)
(start,Start)
(startSync,StartSync)
