(makeEventPage,makeEventPage)
(addEventText,addEventText)
(addEventImg,addEventImg)
(sendEventPageWithNoti,sendEventPageWithNoti)
(sendEventPage,sendEventPage)
(makeConfigPage,makeConfigPage)
(addStrTextbox,addStrTextbox)
(addNumberTextbox,addNumberTextbox)
(addSingleDialog,addSingleDialog)
(addMultipleDialog,addMultipleDialog)
(addDateDialog,addDateDialog)
(addTimeDialog,addTimeDialog)
(sendConfigPage,sendConfigPage)
(getData,getData)
(onTermination,onTermination)
(sendMsgToSensorViewer,sendMsgToSensorViewer)
(app,AppAPI)
(ml,MLAPI)
(runModel,RunModel)
