(start,Start)
(sendGcode,SendCommand)
(sendTuneGcode,SendTuneCommand)
(getPrinterList,GetPrinterList)
(getPrinterInfo,GetPrinterInfo)
(printFile,PrintFile)
(pausePrint,PausePrint)
(resumePrint,ResumePrint)
(stopPrint,StopPrint)
(getCommunicationLogs,GetCommunicationLogs)
(printjobID,Integer)
(message,Integer)
(code,Integer)
(id,Integer)
(temp,Integer)
(targetTemp,Integer)
(baudrate,Integer)
(queueItemId,Integer)
(progress,Integer)
(currentLine,Integer)
(totalLines,Integer)
(printingTime,Integer)
(remainingPrintingTime,Integer)
(ratio,Integer)
(x,Number)
(y,Number)
(z,Number)
(currentLayer,Integer)
(printSpeed,Integer)
(materialAmount,Integer)
(fanSpeed,Integer)
(flowRate,Integer)
(speedMultiplier,Integer)
