(open,Open)
(close,Close)
(subscribeToSystemEvent,SubscribeToSystemEvent)
(requestDataOnSimObject,RequestDataOnSimObject)
(setDataOnSimObject,SetDataOnSimObject)
(requestDataOnSimObjectType,RequestDataOnSimObjectType)
(setAircraftInitialPosition,SetAircraftInitialPosition)
(transmitClientEvent,TransmitClientEvent)
(requestSystemState,RequestSystemState)
(createDataDefinition,CreateDataDefinition)
(flightLoad,FlightLoad)
(isConnected,isConnected)
(setDataOnSimObject,SetDataOnSimObject)
(setAircraftInitialPosition,SetAircraftInitialPosition)
(dwException,Number)
(dwSendID,Number)
(dwIndex,Number)
(cbData,Number)
(cbVersion,Number)
(integer,Number)
(float,Number)
