(single_multiply,single_multiply)
(single_divide,single_divide)
(log,log)
(ilog,ilog)
(shift_multiply,shift_multiply)
(shift_divide,shift_divide)
(inverse,inverse)
(shift_inverse,shift_inverse)
(create_mult_tables,create_mult_tables)
(multtable_multiply,multtable_multiply)
(multtable_divide,multtable_divide)
(create_log_tables,create_log_tables)
(logtable_multiply,logtable_multiply)
(logtable_divide,logtable_divide)
(create_split_w8_tables,create_split_w8_tables)
(split_w8_multiply,split_w8_multiply)
