(average,GetAverage)
(stdev,GetStDev)
(sum,GetSum)
(count,GetCount)
(add,Add)
(numArmiesOriginal,GetNumArmiesOriginal)
(numArmies,GetNumArmies)
(numWins,GetNumWins)
(dice,GetDice)
(reset,Reset)
(getLosses,GetLosses)
(roll,Roll)
(numDefense,GetNumDefense)
(numOffense,GetNumOffense)
(numDefenseRemaining,GetNumDefenseRemaining)
(numOffenseRemaining,GetNumOffenseRemaining)
(numOffenseWins,GetNumOffenseWins)
(numDefenseWins,GetNumDefenseWins)
(offense,GetOffense)
(defense,GetDefense)
(playAsync,PlayAsync)
(playSync,PlaySync)
(setDebug,SetDebug)
(random,RandomFunction)
