(create,ImageCreate)
(createTrueColor,ImageCreateTrueColor)
(createFromJpeg,CreateFromJpeg)
(createFromJpegPtr,CreateFromJpegPtr)
(createFromPng,CreateFromPng)
(createFromPngPtr,CreateFromPngPtr)
(createFromGif,CreateFromGif)
(createFromGifPtr,CreateFromGifPtr)
(createFromGd2,CreateFromGd2)
(createFromGd2Ptr,CreateFromGd2Ptr)
(createFromGd2Part,CreateFromGd2Part)
(createFromGd2PartPtr,CreateFromGd2PartPtr)
(createFromWBMP,CreateFromWBMP)
(createFromWBMPPtr,CreateFromWBMPPtr)
(trueColor,TrueColor)
(trueColorAlpha,TrueColorAlpha)
(jpeg,Jpeg)
(jpegPtr,JpegPtr)
(png,Png)
(pngPtr,PngPtr)
(gif,Gif)
(gifPtr,GifPtr)
(gd,Gd)
(gdPtr,GdPtr)
(gd2,Gd2)
(gd2Ptr,Gd2Ptr)
(destroy,Destroy)
(line,Line)
(dashedLine,DashedLine)
(polygon,Polygon)
(openPolygon,OpenPolygon)
(filledPolygon,FilledPolygon)
(filledRectangle,FilledRectangle)
(arc,Arc)
(filledArc,FilledArc)
(filledEllipse,FilledEllipse)
(fill,Fill)
(setAntiAliased,SetAntiAliased)
(setAntiAliasedDontBlend,SetAntiAliasedDontBlend)
(setBrush,SetBrush)
(setTile,SetTile)
(setStyle,SetStyle)
(setThickness,SetThickness)
(alphaBlending,AlphaBlending)
(saveAlpha,SaveAlpha)
(setClip,SetClip)
(getClip,GetClip)
(Alpha,Alpha)
(getPixel,GetPixel)
(getBoundsSafe,GetBoundsSafe)
(stringFT,StringFT)
(colorAllocate,ColorAllocate)
(colorAllocateAlpha,ColorAllocateAlpha)
(colorClosest,ColorClosest)
(colorClosestAlpha,ColorClosestAlpha)
(colorClosestHWB,ColorClosestHWB)
(colorExact,ColorExact)
(colorResolve,ColorResolve)
(colorResolveAlpha,ColorResolveAlpha)
(red,Red)
(green,Green)
(blue,Blue)
(getTransparent,GetTransparent)
(colorDeallocate,ColorDeallocate)
(colorTransparent,ColorTransparent)
(copy,Copy)
(copyResized,CopyResized)
(copyResampled,CopyResampled)
(copyRotated,CopyRotated)
(copyMerge,CopyMerge)
(copyMergeGray,CopyMergeGray)
(paletteCopy,PaletteCopy)
(squareToCircle,SquareToCircle)
(sharpen,Sharpen)
(compare,Compare)
