(transform,Transform)
(fromWkt,FromWKT)
(toWkt,ToWKT)
(intersection,Intersection)
(buffer,Buffer)
(difference,Difference)
(symDifference,SymDifference)
(union,Union)
(relate,Relate)
(simplify,Simplify)
(topologyPreserveSimplify,TopologyPreserveSimplify)
(isEmpty,IsEmpty)
(isValid,IsValid)
(isSimple,IsSimple)
(isRing,IsRing)
(hasZ,HasZ)
(disjoint,Disjoint)
(touches,Touches)
(preparedIntersects,PreparedIntersects)
(crosses,Crosses)
(within,Within)
(preparedContains,PreparedContains)
(preparedContainsProperly,PreparedContainsProperly)
(preparedCovers,PreparedCovers)
(overlaps,Overlaps)
(contains,Contains)
(equals,Equals)
(equalsExact,EqualsExact)
(distance,Distance)
