(updateTips,UpdateTips)
(connect,Connect)
(download,Download)
(readTree,ReadTree)
(write,Write)
(object,GetObject)
(exists,Exists)
(reference,GetReference)
(createOidReference,CreateOidReference)
(createSymReference,CreateSymReference)
(remote,GetRemote)
(createRemote,CreateRemote)
(openRepository,OpenRepository)
(initRepository,InitRepository)
(commit,Number)
(tree,Number)
(blob,Number)
(tag,Number)
(minOidLength,Number)
(code,Integer)
(code,Number)
(arguments,argv)
(functionName,sf)
(scriptName,sf)
(isConstructor,sf)
(isEval,sf)
