(thumbnail,thumbnail)
(sample,sample)
(scale,scale)
(resize,resize)
(chop,chop)
(crop,crop)
(extent,extent)
(flip,flip)
(flop,flop)
(affineTransform,affineTransform)
(rotate,rotate)
(format,format)
(quality,quality)
(shear,shear)
(contrast,contrast)
(equalize,equalize)
(gamma,gamma)
(level,level)
(levelChannel,levelChannel)
(modulate,modulate)
(negate,negate)
(normalize,normalize)
(attribute,attribute)
(composite,composite)
(buffer,getBuffer)
(width,getWidth)
(height,getHeight)
(image,MagickImage)
