(id,GetId)
(playlist,GetPlaylist)
(attach,Attach)
(detach,Detach)
(position,Position)
(gain,GetGain)
(play,Play)
(items,Playlist)
(pause,Pause)
(seek,Seek)
(insert,Insert)
(remove,Remove)
(position,DecodePosition)
(playing,Playing)
(clear,Clear)
(count,Count)
(setItemGain,SetItemGain)
(setItemPeak,SetItemPeak)
(setGain,SetGain)
(setFillMode,SetFillMode)
(item,GNPlaylistItem)
(getInfo,GetInfo)
(getBuffer,GetBuffer)
(file,GetFile)
(peak,GetPeak)
(filename,GetFilename)
(dirty,GetDirty)
(close,Close)
(getMetadata,GetMetadata)
(setMetadata,SetMetadata)
(metadata,Metadata)
(shortNames,ShortNames)
(save,Save)
(duration,Duration)
(setLogging,SetLogging)
(getDevices,GetDevices)
(getVersion,GetVersion)
(open,GNFile)
(createPlayer,GNPlayer)
(createPlaylist,GNPlaylist)
(createLoudnessDetector,GNLoudnessDetector)
(createEncoder,GNEncoder)
(createFingerprinter,GNFingerprinter)
(encodeFingerprint,GNFingerprinter)
(decodeFingerprint,GNFingerprinter)
