(calculateObjectSize,CalculateObjectSize)
(serialize,BSONSerialize)
(serializeWithBufferAndIndex,SerializeWithBufferAndIndex)
(deserialize,BSONDeserialize)
(deserializeStream,BSONDeserializeStream)
(toBuffer,ToBuffer)
(aquire,Aquire)
(initialize,InitializeContext)
(initialize,InitalizeStep)
(decryptMessage,DecryptMessage)
(queryContextAttributes,QueryContextAttributes)
(encryptMessage,EncryptMessage)
(authGSSClientInit,AuthGSSClientInit)
(authGSSClientStep,AuthGSSClientStep)
(authGSSClientUnwrap,AuthGSSClientUnwrap)
(authGSSClientWrap,AuthGSSClientWrap)
(authGSSClientClean,AuthGSSClientClean)
(payload,SecurityContext)
(hasContext,SecurityContext)
(response,KerberosContext)
