(verify,Verify)
(isExtended,IsExtended)
(getHashAlgorithm,GetHashAlgorithm)
(compareHash,CompareHash)
(checkPublication,CheckPublication)
(getSignerName,GetSignerName)
(getContent,GetContent)
(composeExtendingRequest,ComposeExtendingRequest)
(extend,Extend)
(isEarlierThan,IsEarlierThan)
(getRegisteredTime,GetRegisteredTime)
(composeRequest,ComposeRequest)
(processResponse,ProcessResponse)
(verifyPublications,VerifyPublications)
(verification_status,Integer)
(registered_time,NODE_UNIXTIME_V8)
(publication_identifier,Number)
(publication_time,NODE_UNIXTIME_V8)
