(loadMaterialScripts,LoadMaterialScripts)
(setConnected,SetConnected)
(setPoseMsgFilterMinimumDistanceSquared,SetPoseMsgFilterMinimumDistanceSquared)
(getPoseMsgFilterMinimumDistanceSquared,GetPoseMsgFilterMinimumDistanceSquared)
(setPoseMsgFilterMinimumQuaternionSquared,SetPoseMsgFilterMinimumQuaternionSquared)
(getPoseMsgFilterMinimumQuaternionSquared,GetPoseMsgFilterMinimumQuaternionSquared)
(getPoseMsgFilterMinimumAge,GetPoseMsgFilterMinimumAge)
(setPoseMsgFilterMinimumAge,SetPoseMsgFilterMinimumAge)
(getMessages,GetMessages)
(request,Request)
(getIsGzServerConnected,GetIsGzServerConnected)
(getMaterialScriptsMessage,GetMaterialScriptsMessage)
