(name,GetName)
(total_size,GetTotalSize)
(num_files,GetNumFiles)
(post_torrent_updates,PostTorrentUpdates)
(find_torrent,FindTorrent)
(get_torrents,GetTorrents)
(async_add_torrent,AsyncAddTorrent)
(add_torrent,AddTorrent)
(resume,Resume)
(pause,Pause)
(is_paused,IsPaused)
(is_dht_running,IsDhtRunning)
(start_dht,StartDht)
(stop_dht,StopDht)
(add_dht_router,AddDhtRouter)
(add_dht_node,AddDhtNode)
(load_country_db,LoadCountryDb)
(load_asnum_db,LoadAsnumDb)
(as_for_ip,AsForIp)
(id,Id)
(set_peer_id,SetPeerId)
(set_key,SetKey)
(listen_on,ListenOn)
(is_listening,IsListening)
(listen_port,ListenPort)
(ssl_listen_port,SslListenPort)
(remove_torrent,RemoveTorrent)
(pop_alerts,PopAlerts)
(pop_alert,PopAlert)
(wait_for_alert,WaitForAlert)
(set_alert_mask,SetAlertMask)
(stop_lsd,StopLsd)
(start_lsd,StartLsd)
(stop_upnp,StopUpnp)
(start_upnp,StartUpnp)
(delete_port_mapping,DeletePortMapping)
(add_port_mapping,AddPortMapping)
(stop_natpmp,StopNatpmp)
(start_natpmp,StartNatpmp)
(read_piece,ReadPiece)
(have_piece,HavePiece)
(status,Status)
(reset_piece_deadline,ResetPieceDeadline)
(clear_piece_deadlines,ClearPieceDeadlines)
(set_piece_deadline,SetPieceDeadline)
(set_priority,SetPriority)
(clear_error,ClearError)
(add_url_seed,AddUrlSeed)
(remove_url_seed,RemoveUrlSeed)
(add_http_seed,AddHttpSeed)
(remove_http_seed,RemoveHttpSeed)
(is_valid,IsValid)
(set_upload_mode,SetUploadMode)
(set_share_mode,SetShareMode)
(flush_cache,FlushCache)
