(processMsg,ProcessMsg)
(getInboundMsg,GetInboundMsg)
(connect,Connect)
(disconnect,Disconnect)
(isConnected,IsConnected)
(twsConnectionTime,TwsConnectionTime)
(reqMktData,ReqMktData)
(cancelMktData,CancelMktData)
(placeOrder,PlaceOrder)
(cancelOrder,CancelOrder)
(reqOpenOrders,ReqOpenOrders)
(reqAccountUpdates,ReqAccountUpdates)
(reqExecutions,ReqExecutions)
(reqIds,ReqIds)
(reqContractDetails,ReqContractDetails)
(reqMktDepth,ReqMktDepth)
(cancelMktDepth,CancelMktDepth)
(reqNewsBulletins,ReqNewsBulletins)
(cancelNewsBulletins,CancelNewsBulletins)
(setServerLogLevel,SetServerLogLevel)
(reqAutoOpenOrders,ReqAutoOpenOrders)
(reqAllOpenOrders,ReqAllOpenOrders)
(reqManagedAccts,ReqManagedAccts)
(requestFA,RequestFA)
(replaceFA,ReplaceFA)
(reqHistoricalData,ReqHistoricalData)
(exerciseOptions,ExerciseOptions)
(cancelHistoricalData,CancelHistoricalData)
(reqRealtimeBars,ReqRealTimeBars)
(cancelRealTimeBars,CancelRealTimeBars)
(cancelScannerSubscription,CancelScannerSubscription)
(reqScannerParameters,ReqScannerParameters)
(reqScannerSubscription,ReqScannerSubscription)
(reqCurrentTime,ReqCurrentTime)
(reqFundamentalData,ReqFundamentalData)
(cancelFundamentalData,CancelFundamentalData)
(calculateImpliedVolatility,CalculateImpliedVolatility)
(calculateOptionPrice,CalculateOptionPrice)
(cancelCalculateImpliedVolatility,CancelCalculateImpliedVolatility)
(cancelCalculateOptionPrice,CancelCalculateOptionPrice)
(reqGlobalCancel,ReqGlobalCancel)
(reqMarketDataType,ReqMarketDataType)
(reqPositions,ReqPositions)
(cancelPositions,CancelPositions)
(reqAccountSummary,ReqAccountSummary)
(cancelAccountSummary,CancelAccountSummary)
(verifyRequest,VerifyRequest)
(verifyMessage,VerifyMessage)
(queryDisplayGroups,QueryDisplayGroups)
(subscribeToGroupEvents,SubscribeToGroupEvents)
(updateDisplayGroup,UpdateDisplayGroup)
(unsubscribeFromGroupEvents,UnsubscribeFromGroupEvents)
(reqPositionsMulti,ReqPositionsMulti)
(cancelPositionsMulti,CancelPositionsMulti)
(reqAccountUpdatesMulti,ReqAccountUpdatesMulti)
(cancelAccountUpdatesMulti,CancelAccountUpdatesMulti)
(reqSecDefOptParams,ReqSecDefOptParams)
(reqSoftDollarTiers,ReqSoftDollarTiers)
