(bcrypt,bcrypt)
(blake,blake)
(boolberry,boolberry)
(c11,c11)
(cryptonight,cryptonight)
(cryptonightfast,cryptonightfast)
(spark,spark)
(fresh,fresh)
(fugue,fugue)
(groestl,groestl)
(groestlmyriad,groestlmyriad)
(hefty1,hefty1)
(keccak,keccak)
(lbry,lbry)
(nist5,nist5)
(quark,quark)
(qubit,qubit)
(scrypt,scrypt)
(scryptsipc,scryptsipc)
(eaglesong,eaglesong)
(cbmtmerkle,cbmtmerkle)
(scryptn,scryptn)
(sha256d,sha256d)
(shavite3,shavite3)
(skein,skein)
(x11,x11)
(x13,x13)
(x15,x15)
(x16r,x16r)
(genop,genop)
(lbcgenhash,lbcgenhash)
