(fetchAll,FetchAll)
(fetch,Fetch)
(getData,GetData)
(moreResultsSync,MoreResultsSync)
(close,Close)
(closeSync,CloseSync)
(fetchSync,FetchSync)
(fetchAllSync,FetchAllSync)
(getDataSync,GetDataSync)
(getColumnNamesSync,GetColumnNamesSync)
(getColumnMetadataSync,GetColumnMetadataSync)
(getSQLErrorSync,GetSQLErrorSync)
(getAffectedRowsSync,GetAffectedRowsSync)
(index,self)
(SQL_DESC_NAME,self)
(SQL_DESC_TYPE_NAME,self)
(SQL_DESC_CONSIZE_TYPE,self)
(SQL_DESC_DISPLAY_SIZE,self)
(SQL_DESC_PRECISION,self)
(SQL_DESC_SCALE,self)
(SQL_DESC_LENGTH,self)
(execute,Execute)
(executeSync,ExecuteSync)
(executeDirect,ExecuteDirect)
(executeDirectSync,ExecuteDirectSync)
(executeNonQuery,ExecuteNonQuery)
(executeNonQuerySync,ExecuteNonQuerySync)
(prepare,Prepare)
(prepareSync,PrepareSync)
(bind,Bind)
(bindSync,BindSync)
(setAttr,SetAttr)
(setAttrSync,SetAttrSync)
(0,js_result)
(connected,ConnectedGetter)
(open,Open)
(openSync,OpenSync)
(createDbSync,CreateDbSync)
(dropDbSync,DropDbSync)
(createStatement,CreateStatement)
(createStatementSync,CreateStatementSync)
(query,Query)
(querySync,QuerySync)
(beginTransaction,BeginTransaction)
(beginTransactionSync,BeginTransactionSync)
(endTransaction,EndTransaction)
(endTransactionSync,EndTransactionSync)
(setIsolationLevel,SetIsolationLevel)
(getInfo,GetInfo)
(getInfoSync,GetInfoSync)
(getTypeInfo,GetTypeInfo)
(getTypeInfoSync,GetTypeInfoSync)
(getFunctions,GetFunctions)
(getFunctionsSync,GetFunctionsSync)
(columns,Columns)
(tables,Tables)
(createConnection,CreateConnection)
(createConnectionSync,CreateConnectionSync)
(0,codeSet)
