(http_server_config_create,http_server_config_create)
(http_server_config_destroy,http_server_config_destroy)
(http_server_config_set_listen_addr,http_server_config_set_listen_addr)
(http_server_config_set_num_executors,http_server_config_set_num_executors)
(http_server_create,http_server_create)
(http_server_start,http_server_start)
(http_server_route_create,http_server_route_create)
(http_server_route_destroy,http_server_route_destroy)
(http_server_add_route,http_server_add_route)
(http_server_set_default_route,http_server_set_default_route)
(http_response_create,http_response_create)
(http_response_destroy,http_response_destroy)
(http_response_set_body,http_response_set_body)
(http_response_set_status,http_response_set_status)
(http_response_set_header,http_response_set_header)
(http_response_append_header,http_response_append_header)
(http_server_endpoint_context_end_with_response,http_server_endpoint_context_end_with_response)
(http_request_get_uri,http_request_get_uri)
(http_request_get_method,http_request_get_method)
(http_request_get_remote_addr,http_request_get_remote_addr)
(http_request_get_header,http_request_get_header)
(storage_file_http_response_begin_send,storage_file_http_response_begin_send)
(http_server_endpoint_context_take_request,http_server_endpoint_context_take_request)
(http_request_destroy,http_request_destroy)
(http_request_take_and_read_body,http_request_take_and_read_body)
(rpc_server_config_create,rpc_server_config_create)
(rpc_server_config_destroy,rpc_server_config_destroy)
(rpc_server_config_add_method,rpc_server_config_add_method)
(rpc_server_create,rpc_server_create)
(rpc_server_start,rpc_server_start)
(rpc_call_context_get_num_params,rpc_call_context_get_num_params)
(rpc_call_context_get_param,rpc_call_context_get_param)
(rpc_call_context_end,rpc_call_context_end)
(rpc_param_build_i32,rpc_param_build_i32)
(rpc_param_build_f64,rpc_param_build_f64)
(rpc_param_build_string,rpc_param_build_string)
(rpc_param_build_error,rpc_param_build_error)
(rpc_param_build_bool,rpc_param_build_bool)
(rpc_param_build_null,rpc_param_build_null)
(rpc_param_get_i32,rpc_param_get_i32)
(rpc_param_get_f64,rpc_param_get_f64)
(rpc_param_get_string,rpc_param_get_string)
(rpc_param_get_bool,rpc_param_get_bool)
(rpc_param_get_error,rpc_param_get_error)
(rpc_param_is_null,rpc_param_is_null)
(rpc_param_destroy,rpc_param_destroy)
(rpc_param_clone,rpc_param_clone)
(rpc_client_create,rpc_client_create)
(rpc_client_destroy,rpc_client_destroy)
(rpc_client_connect,rpc_client_connect)
(rpc_client_connection_destroy,rpc_client_connection_destroy)
(rpc_client_connection_call,rpc_client_connection_call)
