(globalInit,GlobalInit)
(globalCleanup,GlobalCleanup)
(getVersion,GetVersion)
(getCount,GetCount)
(fileName,fileName)
(size,size)
(setOpt,Easy)
(getInfo,Easy)
(send,Easy)
(recv,Easy)
(perform,Easy)
(pause,Easy)
(reset,Easy)
(dupHandle,Easy)
(onSocketEvent,Easy)
(monitorSocketEvents,Easy)
(unmonitorSocketEvents,Easy)
(close,Easy)
(strError,Easy)
(setOpt,Share)
(close,Share)
(strError,Share)
(setOpt,Multi)
(addHandle,Multi)
(onMessage,Multi)
(removeHandle,Multi)
(getCount,Multi)
(close,Multi)
(strError,Multi)
