(IO,IO)
(attach,attachV8)
(detach,detachV8)
(write,writeV8)
(writeMicroseconds,writeMicrosecondsV8)
(read,readV8)
(readMicroseconds,readMicrosecondsV8)
(attached,attachedV8)
(set48hz,set48hzV8)
(set188hz,set188hzV8)
(muxSelectDigitalPin,muxSelectDigitalPinV8)
(muxSelectAnalogPin,muxSelectAnalogPinV8)
(muxSelectUart,muxSelectUartV8)
(muxSelectSpi,muxSelectSpiV8)
(muxSelectI2c,muxSelectI2cV8)
(variantPinMode,variantPinModeV8)
(variantPinModeIRQ,variantPinModeIRQV8)
(turnOffPWM,turnOffPWMV8)
(turnOnPWM,turnOnPWMV8)
(variantEnableFastGpio,variantEnableFastGpioV8)
(variantEnablePullup,variantEnablePullupV8)
(interrupt_init,interrupt_initV8)
(interrupt_fini,interrupt_finiV8)
(attachInterrupt,attachInterruptV8)
(detachInterrupt,detachInterruptV8)
(attachTimerInterrupt,attachTimerInterruptV8)
(setMinimumTimerFreq,setMinimumTimerFreqV8)
(fastGpioSCInit,fastGpioSCInitV8)
(fastGpioSCFini,fastGpioSCFiniV8)
(fastGpioDigitalWrite,fastGpioDigitalWriteV8)
(fastGpioDigitalWriteDestructive,fastGpioDigitalWriteDestructiveV8)
(fastGpioDigitalLatch,fastGpioDigitalLatchV8)
(begin,beginV8)
(beginTransmission,beginTransmissionV8)
(endTransmission,endTransmissionV8)
(requestFrom,requestFromV8)
(available,availableV8)
(peek,peekV8)
(flush,flushV8)
(onReceive,onReceiveV8)
(onRequest,onRequestV8)
(onService,onServiceV8)
(getWireV8E,GetWireV8)
(setWireV8E,SetWireV8)
(transfer,transferV8)
(transferBuffer,transferBufferV8)
(end,endV8)
(setBitOrder,setBitOrderV8)
(setDataMode,setDataModeV8)
(setClockDivider,setClockDividerV8)
(getSpiV8E,GetSpiV8)
(setSpiV8E,SetSpiV8)
(pinInit,pinInitV8)
(pinMode,pinModeV8)
(pinModeIRQ,pinModeIRQV8)
(digitalWrite,digitalWriteV8)
(digitalRead,digitalReadV8)
(pinHandleReopen,pinHandleReopenV8)
(pinGetIndex,pinGetIndexV8)
(pin2path,pin2pathV8)
(gpio2gpiohandle,gpio2gpiohandleV8)
(pin2gpiohandle,pin2gpiohandleV8)
(version,versionV8)
(i2c_getadapter,i2c_getadapterV8)
(i2c_openadapter,i2c_openadapterV8)
(i2c_setslave,i2c_setslaveV8)
(i2c_writebyte,i2c_writebyteV8)
(i2c_writebytes,i2c_writebytesV8)
(i2c_readbyte,i2c_readbyteV8)
(i2c_readbytes,i2c_readbytesV8)
(i2c_readwrite,i2c_readwriteV8)
(i2c_add_to_buf,i2c_add_to_bufV8)
(initWithTty,initWithTtyV8)
(store_char,store_charV8)
(pwmInit,pwmInitV8)
(analogRead,analogReadV8)
(analogReadResolution,analogReadResolutionV8)
(analogReference,analogReferenceV8)
(analogWrite,analogWriteV8)
(pin2pwmhandle_enable,pin2pwmhandle_enableV8)
(sysfsPwmExport,sysfsPwmExportV8)
(sysfsPwmEnable,sysfsPwmEnableV8)
(sysfsPwmDisable,sysfsPwmDisableV8)
(sysfsGpioSet,sysfsGpioSetV8)
(sysfsGpioGet,sysfsGpioGetV8)
(sysfsGpioExport,sysfsGpioExportV8)
(sysfsGpioDirection,sysfsGpioDirectionV8)
(sysfsGpioEdgeConfig,sysfsGpioEdgeConfigV8)
(sysfsGpioLevelConfig,sysfsGpioLevelConfigV8)
(sysfsGpioSetDrive,sysfsGpioSetDriveV8)
(TTYIrqHandler,TTYIrqHandlerV8)
(init_tty,init_ttyV8)
(getSerialV8E,GetSerialV8)
(setSerialV8E,SetSerialV8)
(getSerial1V8E,GetSerial1V8)
(setSerial1V8E,SetSerial1V8)
(getSerial2V8E,GetSerial2V8)
(setSerial2V8E,SetSerial2V8)
(getSsV8,GetSsV8)
(getMosiV8,GetMosiV8)
(getMisoV8,GetMisoV8)
(getSckV8,GetSckV8)
(getSdaV8,GetSdaV8)
(getSclV8,GetSclV8)
(getLed_builtinV8,GetLed_builtinV8)
(getA0V8,GetA0V8)
(getA1V8,GetA1V8)
(getA2V8,GetA2V8)
(getA3V8,GetA3V8)
(getA4V8,GetA4V8)
(getA5V8,GetA5V8)
(getA6V8,GetA6V8)
(getA7V8,GetA7V8)
(millis,millisV8)
(micros,microsV8)
(delay,delayV8)
(delayMicroseconds,delayMicrosecondsV8)
