(Callback,FunctionTemplate)
(strtoul,Strtoul)
(set_cb,SetCb)
(call_cb,CallCb)
(call_cb_from_thread,CallCbFromThread)
(call_cb_async,CallCbAsync)
(address,Address)
(hexAddress,HexAddress)
(isNull,IsNull)
(readObject,ReadObject)
(writeObject,WriteObject)
(readPointer,ReadPointer)
(writePointer,WritePointer)
(readInt64,ReadInt64)
(writeInt64,WriteInt64)
(readUInt64,ReadUInt64)
(writeUInt64,WriteUInt64)
(readCString,ReadCString)
(reinterpret,ReinterpretBuffer)
(reinterpretUntilZeros,ReinterpretBufferUntilZeros)
(abs,absPtr)
(sprintf,sprintf)
(double_box,double_box)
(double_box_ptr,double_box_ptr)
(area_box,area_box)
(area_box_ptr,area_box_ptr)
(create_box,create_box)
(add_boxes,add_boxes)
(int_array,int_array)
(array_in_struct,array_in_struct)
(callback_func,callback_func)
(play_ping_pong,play_ping_pong)
(test_169,test_169)
(test_ref_56,test_ref_56)
(size_t,size_t)
