(isExternal,IsExternal)
(isDate,IsDate)
(isArgumentsObject,IsArgumentsObject)
(isBigIntObject,IsBigIntObject)
(isBooleanObject,IsBooleanObject)
(isNumberObject,IsNumberObject)
(isStringObject,IsStringObject)
(isSymbolObject,IsSymbolObject)
(isNativeError,IsNativeError)
(isRegExp,IsRegExp)
(isAsyncFunction,IsAsyncFunction)
(isGeneratorFunction,IsGeneratorFunction)
(isGeneratorObject,IsGeneratorObject)
(isPromise,IsPromise)
(isMap,IsMap)
(isSet,IsSet)
(isMapIterator,IsMapIterator)
(isSetIterator,IsSetIterator)
(isWeakMap,IsWeakMap)
(isWeakSet,IsWeakSet)
(isArrayBuffer,IsArrayBuffer)
(isDataView,IsDataView)
(isSharedArrayBuffer,IsSharedArrayBuffer)
(isProxy,IsProxy)
(isModuleNamespaceObject,IsModuleNamespaceObject)
(isAnyArrayBuffer,IsAnyArrayBuffer)
(isBoxedPrimitive,IsBoxedPrimitive)
(getProxyDetails,GetProxyDetails)
(getConstructorName,GetConstructorName)
(getOwnNonIndexProperties,GetOwnNonIndexProperties)
(previewEntries,PreviewEntries)
(makeBinding,binding)
