(getVersion,getVersion)
(checkClientOpenedSync,checkClientOpenedSync)
(openClientSync,openClientSync)
(closeClient,closeClient)
(registerInPortSync,registerInPortSync)
(registerOutPortSync,registerOutPortSync)
(unregisterPortSync,unregisterPortSync)
(connectPortSync,connectPortSync)
(disconnectPortSync,disconnectPortSync)
(getAllPortsSync,getAllPortsSync)
(getOutPortsSync,getOutPortsSync)
(getInPortsSync,getInPortsSync)
(portExistsSync,portExistsSync)
(outPortExistsSync,outPortExistsSync)
(inPortExistsSync,inPortExistsSync)
(bindProcessSync,bindProcessSync)
(checkActiveSync,checkActiveSync)
(activateSync,activateSync)
(deactivateSync,deactivateSync)
(getSampleRateSync,getSampleRateSync)
(getBufferSizeSync,getBufferSizeSync)
