(data,data)
(getDevices,getDevices)
(turnOn,turnOn)
(turnOff,turnOff)
(bell,bell)
(up,up)
(down,down)
(execute,execute)
(stop,stop)
(learn,learn)
(dim,dim)
(addRawDeviceEventListener,addRawDeviceEventListener)
(removeRawDeviceEventListener,removeRawDeviceEventListener)
(addSensorEventListener,addSensorEventListener)
(removeSensorEventListener,removeSensorEventListener)
(addDeviceEventListener,addDeviceEventListener)
(removeDeviceEventListener,removeDeviceEventListener)
(sendRawCommand,sendRawCommand)
(addDevice,addDevice)
(updateDevice,updateDevice)
(removeDevice,removeDevice)
(model,model)
(protocol,protocol)
(value,value)
