(type,Type)
(what,What)
(message,Message)
(category,Category)
(run,Run)
(start,Start)
(stop,Stop)
(update_buyer_terms,UpdateBuyerTerms)
(update_seller_terms,UpdateSellerTerms)
(to_observe_mode,ToObserveMode)
(to_sell_mode,ToSellMode)
(to_buy_mode,ToBuyMode)
(post_torrent_plugin_status_updates,PostTorrentPluginStatusUpdates)
(post_peer_plugin_status_updates,PostPeerPluginStatusUpdates)
(pause_libtorrent,PauseLibtorrent)
(add_torrent,AddTorrent)
(remove_torrent,RemoveTorrent)
(pause_torrent,PauseTorrent)
(resume_torrent,ResumeTorrent)
(start_downloading,StartDownloading)
(start_uploading,StartUploading)
(set_libtorrent_interaction,SetLibtorrentInteraction)
(dropPeer,DropPeer)
