(push,push)
(r,r)
(rs,rs)
(rf,rf)
(rfs,rfs)
(rc,rc)
(rcs,rcs)
(createdb,createdb)
(dropdb,dropdb)
(forgetdb,forgetdb)
(createuser,createuser)
(deleteuser,deleteuser)
(listdbs,listdbs)
(setrights,setrights)
(listrights,listrights)
(select,select)
(asc,asc)
(desc,desc)
(skip,skip)
(limit,limit)
(count,count)
(dbmap,dbmap)
(dbreduce,dbreduce)
(follow,follow)
(where,where)
(dbeach,dbeach)
(dbeq,dbeq)
(dbcomp,dbcomp)
(rge,rge)
(rgt,rgt)
(rle,rle)
(rlt,rlt)
(kge,kge)
(kgt,kgt)
(kle,kle)
(klt,klt)
(getServer,GetServer)
(getPort,GetPort)
(connect,Connect)
(Setter error: (,data)
