(exports,CreateObject)
(on,On)
(onInit,OnInit)
(onGet,OnGet)
(onGetSubkeys,OnGetSubkeys)
(onGetAttrs,OnGetAttrs)
(onSet,OnSet)
(onSetSubkeys,OnSetSubkeys)
(onSetAll,OnSetAll)
(onRemove,OnRemove)
(onRename,OnRename)
(onQueuePush,OnQueuePush)
(onQueuePop,OnQueuePop)
(onQueueRemove,OnQueueRemove)
(onQueueDel,OnQueueRemove)
(onCasInit,OnCasInit)
(onCasGet,OnCasGet)
(onCasSet,OnCasSet)
(onCasIncDec,OnCasIncDec)
(off,Off)
(offInit,OffInit)
(offGet,OffGet)
(offGetSubkeys,OffGetSubkeys)
(offGetAttrs,OffGetAttrs)
(offSet,OffSet)
(offSetSubkeys,OffSetSubkeys)
(offSetAll,OffSetAll)
(offRemove,OffRemove)
(offRename,OffRename)
(offQueuePush,OffQueuePush)
(offQueuePop,OffQueuePop)
(offQueueRemove,OffQueueRemove)
(offQueueDel,OffQueueRemove)
(offCasInit,OffCasInit)
(offCasGet,OffCasGet)
(offCasSet,OffCasSet)
(offCasIncDec,OffCasIncDec)
(init,Init)
(clean,Clean)
(clear,Clean)
(isPermanent,IsPermanent)
(getValue,GetValue)
(getSubkeys,GetSubkeys)
(getAttrs,GetAttrs)
(setValue,SetValue)
(setSubkeys,SetSubkeys)
(addSubkey,SetValue)
(clearSubkeys,SetSubkeys)
(setAll,SetAll)
(remove,Remove)
(rename,Rename)
(queuePush,QueuePush)
(queuePop,QueuePop)
(queueRemove,QueueRemove)
(queueDel,QueueRemove)
(casInit,CasInit)
(casGet,CasGet)
(casSet,CasSet)
(casIncDec,CasIncDec)
(printVersion,PrintVersion)
(0,strtmpkey)
(1,strtmpval)
