(getHashCode,GetHashCode)
(exports,CreateObject)
(cpSpaceNew,cpSpaceNew)
(cpSpaceFree,cpSpaceFree)
(cpSpaceSetGravity,cpSpaceSetGravity)
(cpSpaceSetDamping,cpSpaceSetDamping)
(cpSpaceUseSpatialHash,cpSpaceUseSpatialHash)
(cpSpaceStep,cpSpaceStep)
(cpSpaceAddBody,cpSpaceAddBody)
(cpSpaceAddShape,cpSpaceAddShape)
(cpSpaceRemoveBody,cpSpaceRemoveBody)
(cpSpaceRemoveShape,cpSpaceRemoveShape)
(cpSpacePointQuery,cpSpacePointQuery)
(cpSpaceSegmentQuery,cpSpaceSegmentQuery)
(cpSpaceAddCollisionHandler,cpSpaceAddCollisionHandler)
(cpBodyNew,cpBodyNew)
(cpBodyNewStatic,cpBodyNewStatic)
(cpBodyFree,cpBodyFree)
(cpBodyGetVelocity,cpBodyGetVelocity)
(cpBodySetVelocity,cpBodySetVelocity)
(cpBodyGetPosition,cpBodyGetPosition)
(cpBodySetPosition,cpBodySetPosition)
(cpBodySetForce,cpBodySetForce)
(cpBodyGetForce,cpBodyGetForce)
(cpBodyGetMass,cpBodyGetMass)
(cpBodySetMass,cpBodySetMass)
(cpBodyGetRotation,cpBodyGetRotation)
(cpBodyApplyForceAtLocalPoint,cpBodyApplyForceAtLocalPoint)
(cpBodyApplyImpulseAtLocalPoint,cpBodyApplyImpulseAtLocalPoint)
(cpCircleShapeNew,cpCircleShapeNew)
(cpPolyShapeNew,cpPolyShapeNew)
(cpShapeGetBody,cpShapeGetBody)
(cpShapeFree,cpShapeFree)
(cpShapeSetCollisionType,cpShapeSetCollisionType)
(cpShapeGetCollisionType,cpShapeGetCollisionType)
(cpShapeSetFriction,cpShapeSetFriction)
(cpShapeSetElasticity,cpShapeSetElasticity)
(cpShapeSetFilter,cpShapeSetFilter)
(cpShapeGetFilter,cpShapeGetFilter)
(cpMomentForCircle,cpMomentForCircle)
(cpMomentForBox,cpMomentForBox)
(createPathfindGrid,createPathfindGrid)
(resizePathfindGrid,resizePathfindGrid)
(pathfind,pathfind)
(raycast,raycast)
(setPathfindNodeWeight,setPathfindNodeWeight)
