(SEND_INITIAL_METADATA,SEND_INITIAL_METADATA)
(SEND_MESSAGE,SEND_MESSAGE)
(SEND_CLOSE_FROM_CLIENT,SEND_CLOSE_FROM_CLIENT)
(SEND_STATUS_FROM_SERVER,SEND_STATUS_FROM_SERVER)
(RECV_INITIAL_METADATA,RECV_INITIAL_METADATA)
(RECV_MESSAGE,RECV_MESSAGE)
(RECV_STATUS_ON_CLIENT,RECV_STATUS_ON_CLIENT)
(RECV_CLOSE_ON_SERVER,RECV_CLOSE_ON_SERVER)
(IDLE,IDLE)
(CONNECTING,CONNECTING)
(READY,READY)
(TRANSIENT_FAILURE,TRANSIENT_FAILURE)
(FATAL_FAILURE,FATAL_FAILURE)
(metadataKeyIsLegal,MetadataKeyIsLegal)
(metadataNonbinValueIsLegal,MetadataNonbinValueIsLegal)
(metadataKeyIsBinary,MetadataKeyIsBinary)
(setDefaultRootsPem,SetDefaultRootsPem)
(setDefaultLoggerCallback,SetDefaultLoggerCallback)
(setLogVerbosity,SetLogVerbosity)
(forcePoll,ForcePoll)
(close,Close)
(getTarget,GetTarget)
(getConnectivityState,GetConnectivityState)
(watchConnectivityState,WatchConnectivityState)
(createCall,CreateCall)
(compose,Compose)
(createFromPlugin,CreateFromPlugin)
(cb,data)
(user_data,data)
(createSsl,CreateSsl)
(createInsecure,CreateInsecure)
(call,Call)
(method,details)
(host,details)
(deadline,details)
(requestCall,RequestCall)
(addHttp2Port,AddHttp2Port)
(start,Start)
(tryShutdown,TryShutdown)
(forceShutdown,ForceShutdown)
(startBatch,StartBatch)
(cancel,Cancel)
(cancelWithStatus,CancelWithStatus)
(getPeer,GetPeer)
(setCredentials,SetCredentials)
