(init,MethodInit)
(getInstalledCount,MethodGetInstalledCount)
(getSerialNumber,MethodGetSerialNumber)
(openPlayback,MethodOpenPlayback)
(startPlayback,MethodStartPlayback)
(stopPlayback,MethodStopPlayback)
(pause,MethodPause)
(resume,MethodResume)
(seek,MethodSeek)
(time,MethodTime)
(duration,MethodDuration)
(open,MethodOpen)
(serialOpen,MethodSerialOpen)
(close,MethodClose)
(startCameras,MethodStartCameras)
(stopCameras,MethodStopCameras)
(createTracker,MethodCreateTracker)
(destroyTracker,MethodDestroyTracker)
(setColorControl,MethodSetColorControl)
(startListening,MethodStartListening)
(stopListening,MethodStopListening)
