(open,OpenFunction)
(close,CloseFunction)
(openColorReader,OpenColorReaderFunction)
(closeColorReader,CloseColorReaderFunction)
(openInfraredReader,OpenInfraredReaderFunction)
(closeInfraredReader,CloseInfraredReaderFunction)
(openLongExposureInfraredReader,OpenLongExposureInfraredReaderFunction)
(closeLongExposureInfraredReader,CloseLongExposureInfraredReaderFunction)
(openDepthReader,OpenDepthReaderFunction)
(closeDepthReader,CloseDepthReaderFunction)
(openRawDepthReader,OpenRawDepthReaderFunction)
(closeRawDepthReader,CloseRawDepthReaderFunction)
(openBodyReader,OpenBodyReaderFunction)
(closeBodyReader,CloseBodyReaderFunction)
(closeMultiSourceReader,CloseMultiSourceReaderFunction)
