(getLength,GetLength)
(getSeparator,GetSeparator)
(setSeparator,SetSeparator)
(getValue,GetValue)
(setValue,SetValue)
(success,ReturnCallback)
(Number,Number)
(String,String)
(Color,Color)
(Boolean,Boolean)
(List,List)
(Map,Map)
(Null,Null)
(Error,Error)
(getR,GetR)
(getG,GetG)
(getB,GetB)
(getA,GetA)
(setR,SetR)
(setG,SetG)
(setB,SetB)
(setA,SetA)
(getUnit,GetUnit)
(setUnit,SetUnit)
(getKey,GetKey)
(setKey,SetKey)
(render,render)
(renderSync,render_sync)
(renderFile,render_file)
(renderFileSync,render_file_sync)
(libsassVersion,libsass_version)
