(open,Open)
(close,Close)
(closeSync,CloseSync)
(clear,Clear)
(set,Set)
(add,Add)
(replace,Replace)
(append,Append)
(increment,Increment)
(incrementDouble,IncrementDouble)
(cas,CAS)
(remove,Remove)
(get,Get)
(getBulk,GetBulk)
(setBulk,SetBulk)
(removeBulk,RemoveBulk)
(matchPrefix,MatchPrefix)
(matchRegex,MatchRegex)
(synchronize,Synchronize)
(copy,Copy)
(dumpSnapshot,DumpSnapshot)
(loadSnapshot,LoadSnapshot)
(count,Count)
(size,Size)
(status,Status)
(addIndexed,AddIndexed)
(replaceIndexed,ReplaceIndexed)
(removeIndexed,RemoveIndexed)
(getKey,GetKey)
(getKeyBlock,GetKeyBlock)
(getValue,GetValue)
(setValue,SetValue)
(jump,Jump)
(jumpTo,JumpTo)
(jumpBack,JumpBack)
(jumpBackTo,JumpBackTo)
(step,Step)
(stepBack,StepBack)
