(emit,Emit)
(iter,Iterate)
(execute,Execute)
(open,Open)
(close,Close)
(set,Set)
(get,Get)
(clear,Clear)
(add,Add)
(append,Append)
(remove,Remove)
(replace,Replace)
(seize,Seize)
(increment,Increment)
(increment_double,IncrementDouble)
(cas,Cas)
(count,Count)
(size,Size)
(path,Path)
(status,Status)
(check,Check)
(get_bulk,GetBulk)
(set_bulk,SetBulk)
(remove_bulk,RemoveBulk)
(match_prefix,MatchPrefix)
(match_regex,MatchRegex)
(match_similar,MatchSimilar)
(copy,Copy)
(merge,Merge)
(dump_snapshot,DumpSnapshot)
(load_snapshot,LoadSnapshot)
(accept,Accept)
(accept_bulk,AcceptBulk)
(iterate,Iterate)
(begin_transaction,BeginTransaction)
(end_transaction,EndTransaction)
(synchronize,Synchronize)
(occupy,Occupy)
(jump,Jump)
(jump_back,JumpBack)
(step,Step)
(step_back,StepBack)
(get_key,GetKey)
(get_value,GetValue)
(set_value,SetValue)
(create,Create)
