(frequencyBinCount,FrequencyBinCountGetter)
(minDecibels,MinDecibelsGetter)
(maxDecibels,MaxDecibelsGetter)
(smoothingTimeConstant,SmoothingTimeConstantGetter)
(getFloatFrequencyData,GetFloatFrequencyData)
(getByteFrequencyData,GetByteFrequencyData)
(getFloatTimeDomainData,GetFloatTimeDomainData)
(getByteTimeDomainData,GetByteTimeDomainData)
(setPath,SetPath)
(setPosition,SetPosition)
(setOrientation,SetOrientation)
(maxChannelCount,MaxChannelCountGetter)
(getDevices,GetDevices)
(load,Load)
(play,Play)
(pause,Pause)
(currentTime,CurrentTimeGetter)
(duration,DurationGetter)
(defaultValue,DefaultValueGetter)
(maxValue,MaxValueGetter)
(minValue,MinValueGetter)
(setValueAtTime,SetValueAtTime)
(linearRampToValueAtTime,LinearRampToValueAtTime)
(exponentialRampToValueAtTime,ExponentialRampToValueAtTime)
(setTargetAtTime,SetTargetAtTime)
(setValueCurveAtTime,SetValueCurveAtTime)
(cancelScheduledValues,CancelScheduledValues)
(cancelAndHoldAtTime,CancelAndHoldAtTime)
(connect,Connect)
(disconnect,Disconnect)
(context,ContextGetter)
(numberOfInputsGetter,NumberOfInputsGetter)
(numberOfOutputsGetter,NumberOfOutputsGetter)
(channelCount,ChannelCountGetter)
(channelCountMode,ChannelCountModeGetter)
(channelInterpretation,ChannelInterpretationGetter)
(sampleRate,SampleRate)
(length,Length)
(numberOfChannels,NumberOfChannels)
(getChannelData,GetChannelData)
(copyFromChannel,CopyFromChannel)
(copyToChannel,CopyToChannel)
(start,Start)
(stop,Stop)
(inputBuffer,InputBufferGetter)
(outputBuffer,OutputBufferGetter)
(numberOfInputChannels,NumberOfInputChannelsGetter)
(numberOfOutputChannels,NumberOfOutputChannelsGetter)
(close,Close)
(createMediaElementSource,CreateMediaElementSource)
(createMediaStreamSource,CreateMediaStreamSource)
(createMediaStreamDestination,CreateMediaStreamDestination)
(createMediaStreamTrackSource,CreateMediaStreamTrackSource)
(createGain,CreateGain)
(createAnalyser,CreateAnalyser)
(createPanner,CreatePanner)
(createStereoPanner,CreateStereoPanner)
(createOscillator,CreateOscillator)
(createBuffer,CreateBuffer)
(createBufferSource,CreateBufferSource)
(createScriptProcessor,CreateScriptProcessor)
(sampleRate,SampleRateGetter)
(Audio,Audio)
(AudioContext,AudioContext)
