(getJob,GetJob)
(getJobSync,GetJobSync)
(getAllJobs,GetAllJobs)
(getAllJobsSync,GetAllJobsSync)
(getManagerName,GetManagerName)
(getManagerPID,GetManagerPID)
(getManagerUID,GetManagerUID)
(startStopRemove,StartStopRemove)
(startStopRemoveSync,StartStopRemoveSync)
(loadJob,LoadJob)
(loadJobSync,LoadJobSync)
(unloadJob,UnloadJob)
(unloadJobSync,UnloadJobSync)
(submitJob,SubmitJob)
(submitJobSync,SubmitJobSync)
(getLimitSync,GetLimitSync)
(setLimitSync,SetLimitSync)
(setEnvVar,SetEnvVar)
(unsetEnvVar,UnsetEnvVar)
(getEnv,GetEnv)
(getRUsage,GetRUsage)
(umask,Umask)
(setLimitSync,SetLimitSync)
(setEnvVar,SetEnvVar)
