(Init,Inicializar)
(ObtenerError,Error)
(ObtenerValor,Obtener)
(StopInit,StopIniti)
(Saldotarjeta,cardB)
(Saldodispositivo,sambalance)
(RecargarTarjeta,recargar)
(VenderTarjeta,Saletarjet)
(CancelarCarga,Cancel_Load)
(LastTransaccion,Last_Transaccions)
(RecargarDispositivo,Load_Device)
(Autenticacion,authenticate)
(GetLastPostPaidBalance,Get_Last_Post_Paid_Balance)
(ObtenerIdTarjeta,Get_Card_ID)
(SendShiftClosing,Send_Shift_Closing)
(TLLogo,TL_Logo)
(LoadSubsidy,Load_Subsidy)
(LoadRefund,Load_Refund)
(LastCartID,Last_Card_ID)
(GetLastTransactionID,Get_Last_Transaction_ID)
(APIVersion,API_Version)
