(Environment,Environment)
(utilTimestamp,Timestamp)
(getInfo,GetInfo)
(getBuckets,GetBuckets)
(createBucket,CreateBucket)
(deleteBucket,DeleteBucket)
(renameBucket,RenameBucket)
(listFiles,ListFiles)
(generateEncryptionInfo,GenerateEncryptionInfo)
(storeFile,StoreFile)
(storeFileCancel,StoreFileCancel)
(resolveFile,ResolveFile)
(resolveFileCancel,ResolveFileCancel)
(deleteFile,DeleteFile)
(encryptMeta,EncryptMeta)
(encryptMetaToFile,EncryptMetaToFile)
(decryptMeta,DecryptMeta)
(decryptMetaFromFile,DecryptMetaFromFile)
(decryptFile,DecryptFile)
(destroy,DestroyEnvironment)
