(iplocal,iplocal)
(ipremote,ipremote)
(tcplisten,tcplisten)
(tcpaccept,tcpaccept)
(tcpconnect,tcpconnect)
(tcpsend,tcpsend)
(tcpflush,tcpflush)
(tcprecv,tcprecv)
(tcprecvuntil,tcprecvuntil)
(tcpport,tcpport)
(tcpclose,tcpclose)
(udplisten,udplisten)
(udpport,udpport)
(udpsend,udpsend)
(udprecv,udprecv)
(udpclose,udpclose)
(sleep,sleep)
(unixlisten,unixlisten)
(unixaccept,unixaccept)
(unixconnect,unixconnect)
(unixpair,unixpair)
(unixsend,unixsend)
(unixflush,unixflush)
(unixrecv,unixrecv)
(unixrecvuntil,unixrecvuntil)
(unixclose,unixclose)
(gotrace,gotrace)
(goredump,goredump)
(test,test)
(nstr,nstr)
(sodium_version,sodium_version)
(box_primitive,box_primitive)
(box_keypair,box_keypair)
(setk,setk)
(getk,getk)
(tcpsendstr,tcpsendstr)
(tcprecvsecret,tcprecvsecret)
(cbStyleA,cbStyleA)
(cbStyleB,cbStyleB)
(cbStyleC,cbStyleC)
