(parse,parse)
(isInitialized,isInitialized)
(isBool,isBool)
(isNull,isNull)
(isInteger,isInteger)
(isReal,isReal)
(isName,isName)
(isString,isString)
(isOperator,isOperator)
(isInlineImage,isInlineImage)
(isArray,isArray)
(isDictionary,isDictionary)
(isStream,isStream)
(isReserved,isReserved)
(isIndirect,isIndirect)
(isScalar,isScalar)
(isNumber,isNumber)
(hasObjectDescription,hasObjectDescription)
(getBoolValue,getBoolValue)
(isDataModified,isDataModified)
(isPageObject,isPageObject)
(isPagesObject,isPagesObject)
(getTypeCode,getTypeCode)
(getTypeName,getTypeName)
(getRealValue,getRealValue)
(getNumericValue,getNumericValue)
(getName,getName)
(getStringValue,getStringValue)
(getUTF8Value,getUTF8Value)
(getOperatorValue,getOperatorValue)
(getInlineImageValue,getInlineImageValue)
(getArrayNItems,getArrayNItems)
(getArrayAsVector,getArrayAsVector)
(getDictAsMap,getDictAsMap)
(shallowCopy,shallowCopy)
(getDict,getDict)
(getObjGen,getObjGen)
(getObjectID,getObjectID)
(getGeneration,getGeneration)
(unparse,unparse)
(unparseResolved,unparseResolved)
(getPageImages,getPageImages)
(getPageContents,getPageContents)
(makeDirect,makeDirect)
(coalesceContentStreams,coalesceContentStreams)
(getArrayItem,getArrayItem)
(hasKey,hasKey)
(getKey,getKey)
(getKeys,getKeys)
(isOrHasName,isOrHasName)
(setArrayItem,setArrayItem)
(setArrayFromVector,setArrayFromVector)
(insertItem,insertItem)
(appendItem,appendItem)
(eraseItem,eraseItem)
(replaceKey,replaceKey)
(removeKey,removeKey)
(replaceOrRemoveKey,replaceOrRemoveKey)
(replaceDict,replaceDict)
(addPageContents,addPageContents)
(rotatePage,rotatePage)
(newNull,newNull)
(newBool,newBool)
(newInteger,newInteger)
(newReal,newReal)
(newName,newName)
(newString,newString)
(newOperator,newOperator)
(newInlineImage,newInlineImage)
(newArray,newArray)
(newDictionary,newDictionary)
(getObj,getObj)
(getGen,getGen)
(ot_uninitialized,QOtype)
(ot_reserved,QOtype)
(ot_null,QOtype)
(ot_boolean,QOtype)
(ot_integer,QOtype)
(ot_real,QOtype)
(ot_string,QOtype)
(ot_name,QOtype)
(ot_array,QOtype)
(ot_dictionary,QOtype)
(ot_stream,QOtype)
(ot_operator,QOtype)
(ot_inlineimage,QOtype)
(qpdf_e_success,Q_error_code)
(qpdf_e_internal,Q_error_code)
(qpdf_e_system,Q_error_code)
(qpdf_e_unsupported,Q_error_code)
(qpdf_e_password,Q_error_code)
(qpdf_e_damaged_pdf,Q_error_code)
(qpdf_e_pages,Q_error_code)
(qpdf_o_disable,Q_object_stream)
(qpdf_o_preserve,Q_object_stream)
(qpdf_o_generate,Q_object_stream)
(qpdf_s_uncompress,Q_stream_data)
(qpdf_s_preserve,Q_stream_data)
(qpdf_s_compress,Q_stream_data)
(qpdf_r3p_full,Q_r3_print)
(qpdf_r3p_low,Q_r3_print)
(qpdf_r3p_none,Q_r3_print)
(qpdf_r3m_all,Q_r3_modify)
(qpdf_r3m_annotate,Q_r3_modify)
(qpdf_r3m_form,Q_r3_modify)
(qpdf_r3m_assembly,Q_r3_modify)
(qpdf_r3m_none,Q_r3_modify)
