(search_create,Search_Create)
(search_num_tracks,Search_Num_Tracks)
(search_track,Search_Track)
(album_is_loaded,Album_Is_Loaded)
(album_name,Album_Name)
(album_year,Album_Year)
(album_type,Album_Type)
(album_artist,Album_Artist)
(album_cover,Album_Cover)
(artist_is_loaded,Artist_Is_Loaded)
(artist_name,Artist_Name)
(track_is_loaded,Track_Is_Loaded)
(track_duration,Track_Duration)
(track_num_artists,Track_Num_Artists)
(track_name,Track_Name)
(track_artist,Track_Artist)
(track_album,Track_Album)
(track_get_availability,Track_Get_Availability)
(track_is_starred,Track_Is_Starred)
(track_popularity,Track_Popularity)
(track_set_starred,Track_Set_Starred)
(session_player_load,Session_Player_Load)
(session_player_play,Session_Player_Play)
(session_player_stream_resume,Session_Player_Stream_Resume)
(playlistcontainer_is_loaded,PlaylistContainer_Is_Loaded)
(playlistcontainer_num_playlists,PlaylistContainer_Num_Playlists)
(playlistcontainer_playlist,PlaylistContainer_Playlist)
(playlist_is_loaded,Playlist_Is_Loaded)
(playlist_name,Playlist_Name)
(playlist_num_tracks,Playlist_Num_Tracks)
(playlist_track,Playlist_Track)
(playlist_update_subscribers,Playlist_Update_Subscribers)
(playlist_num_subscribers,Playlist_Num_Subscribers)
(session_config,Session_Config)
(session_create,Session_Create)
(session_release,Session_Release)
(session_login,Session_Login)
(session_logout,Session_Logout)
(session_process_events,Session_Process_Events)
(session_playlistcontainer,Session_PlaylistContainer)
(link_create_from_track,Link_Create_From_Track)
(link_create_from_artist,Link_Create_From_Artist)
(link_create_from_playlist,Link_Create_From_Playlist)
(link_as_track,Link_As_Track)
(link_as_artist,Link_As_Artist)
(link_as_playlist,Link_As_Playlist)
(link_type,Link_Type)
