(train,Train)
(predict,Predict)
(forget,Forget)
(clear,Clear)
(setC,SetC)
(getC,GetC)
(setEpsilon,SetEpsilon)
(getEpsilon,GetEpsilon)
(setKernel,SetKernel)
(getKernel,GetKernel)
(setKernelParam,SetKernelParam)
(getKernelParam,GetKernelParam)
(getSamplesTrainedNumber,GetSamplesTrainedNumber)
(getSupportSetElementsNumber,GetSupportSetElementsNumber)
(getErrorSetElementsNumber,GetErrorSetElementsNumber)
(getRemainingSetElementsNumber,GetRemainingSetElementsNumber)
(getSupportSetIndexes,GetSupportSetIndexes)
(getErrorSetIndexes,GetErrorSetIndexes)
(getRemainingSetIndexes,GetRemainingSetIndexes)
(setC,SetC)
(setEpsilon,SetEpsilon)
(setKernel,SetKernel)
(setKernelParam,SetKernelParam)
(getSupportSetElementsNumber,GetSupportSetElementsNumber)
(getErrorSetElementsNumber,GetErrorSetElementsNumber)
(getRemainingSetElementsNumber,GetRemainingSetElementsNumber)
(getSupportSetIndexes,GetSupportSetIndexes)
(getErrorSetIndexes,GetErrorSetIndexes)
(getRemainingSetIndexes,GetRemainingSetIndexes)
