(addTorrent,add_torrent)
(removeTorrent,remove_torrent)
(listenPort,listen_port)
(postTorrentUpdates,post_torrent_updates)
(pause,pause)
(isPaused,is_paused)
(resume,resume)
(findTorrent,find_torrent)
(popAlerts,pop_alerts)
(setAlertNotify,set_alert_notify)
(dhtAnnounce,dht_announce)
(dhtGetPeers,dht_get_peers)
(addExtension,add_extension)
(applySettings,apply_settings)
(fileName,file_name)
(filePath,file_path)
(fileSize,file_size)
(fileOffset,file_offset)
(pieceLength,piece_length)
(numFiles,num_files)
(status,status)
(name,name)
(totalSize,total_size)
(numPieces,num_pieces)
(toBencodedEntry,to_bencoded_entry)
(isValid,is_valid)
(infoHash,info_hash)
(files,files)
(getPeerInfo,get_peer_info)
(getDownloadQueue,get_download_queue)
(fileProgress,file_progress)
(addUrlSeed,add_url_seed)
(removeUrlSeed,remove_url_seed)
(urlSeeds,url_seeds)
(addHttpSeed,add_http_seed)
(removeHttpSeed,remove_http_seed)
(httpSeeds,http_seeds)
(setMetadata,set_metadata)
(clearError,clear_error)
(setPriority,set_priority)
(superSeeding,super_seeding)
(autoManaged,auto_managed)
(queuePosition,queue_position)
(queuePositionUp,queue_position_up)
(queuePositionDown,queue_position_down)
(queuePositionTop,queue_position_top)
(queuePositionBottom,queue_position_bottom)
(addPiece,add_piece)
(readPiece,read_piece)
(havePiece,have_piece)
(setPieceDeadline,set_piece_deadline)
(resetPieceDeadline,reset_piece_deadline)
(pieceAvailability,piece_availability)
(piecePriority,piece_priority)
(prioritizePieces,prioritize_pieces)
(piecePriorities,piece_priorities)
(prioritizeFiles,prioritize_files)
(filePriorities,file_priorities)
(filePriority,file_priority)
(useInterface,use_interface)
(saveResume_data,save_resume_data)
(needSaveResumeData,need_save_resume_data)
(forceReannounce,force_reannounce)
(forceDhtAnnounce,force_dht_announce)
(scrapeTracker,scrape_tracker)
(setUploadMode,set_upload_mode)
(setShareMode,set_share_mode)
(flushCache,flush_cache)
(applyIpFilter,apply_ip_filter)
(setUploadLimit,set_upload_limit)
(setDownloadLimit,set_download_limit)
(uploadLimit,upload_limit)
(downloadLimit,download_limit)
(setSequentialDownload,set_sequential_download)
(connectPeer,connect_peer)
(savePath,save_path)
(setMaxUploads,set_max_uploads)
(maxUploads,max_uploads)
(setMaxConnections,set_max_connections)
(maxConnections,max_connections)
(moveStorage,move_storage)
(forceRecheck,force_recheck)
(renameFile,rename_file)
(setSSLCertificate,set_ssl_certificate)
(torrentFile,torrent_file)
(piece_index,i)
(blocks_in_piece,i)
(finished,i)
(writing,i)
(requested,i)
(state,i)
(num_peers,i)
(bytes_progress,i)
(block_size,i)
(0,i)
(1,i)
