(bdecode,DoBDecode)
(files,Files)
(orig_files,OrigFiles)
(rename_file,RenameFile)
(add_tracker,AddTracker)
(trackers,Trackers)
(similar_torrents,SimilarTorrents)
(collections,Collections)
(add_url_seed,AddUrlSeed)
(add_http_seed,AddHttpSeed)
(web_seeds,WebSeeds)
(set_web_seeds,SetWebSeeds)
(total_size,TotalSize)
(piece_length,PieceLength)
(num_pieces,NumPieces)
(info_hash,InfoHash)
(num_files,NumFiles)
(map_block,MapBlock)
(map_file,MapFile)
(load,Load)
(unload,Unload)
(ssl_cert,SslCert)
(is_valid,IsValid)
(priv,Priv)
(is_i2p,IsI2p)
(piece_size,PieceSize)
(hash_for_piece,HashForPiece)
(is_loaded,IsLoaded)
(merkle_tree,MerkleTree)
(set_merkle_tree,SetMerkleTree)
(name,Name)
(creation_date,CreationDate)
(creator,Creator)
(comment,Comment)
(nodes,Nodes)
(add_node,AddNode)
(parse_info_section,ParseInfoSection)
(metadata,Metadata)
(generate,Generate)
(add_torrent,AddTorrent)
(apply_settings,ApplySettings)
(async_add_torrent,AsyncAddTorrent)
(get_settings,GetSettings)
(get_torrent_status,GetTorrentStatus)
(is_listening,IsListening)
(is_paused,IsPaused)
(load_state,LoadState)
(pause,Pause)
(pop_alerts,PopAlerts)
(post_torrent_updates,PostTorrentUpdates)
(remove_torrent,RemoveTorrent)
(save_state,SaveState)
(wait_for_alert,WaitForAlert)
(piece_length,PieceSize)
(hash,Hash)
(symlink,Symlink)
(mtime,Mtime)
(file_path,FilePath)
(file_name,FileName)
(file_size,FileSize)
(pad_file_at,PadFileAt)
(file_offset,FileOffset)
(file_path_hash,FilePathHash)
(all_path_hashes,AllPathHashes)
(paths,Paths)
(file_flags,FileFlags)
(file_absolute_path,FileAbsolutePath)
(file_index_at_offset,FileIndexAtOffset)
(read_resume_data,DoReadResumeData)
(get_bool,GetBool)
(get_int,GetInt)
(get_str,GetStr)
(set_bool,SetBool)
(set_int,SetInt)
(set_str,SetStr)
(add_piece,AddPiece)
(read_piece,ReadPiece)
(have_piece,HavePiece)
(get_peer_info,GetPeerInfo)
(status,Status)
(get_download_queue,GetDownloadQueue)
(set_piece_deadline,SetPieceDeadline)
(reset_piece_deadline,ResetPieceDeadline)
(clear_piece_deadlines,ClearPieceDeadlines)
(file_progress,FileProgress)
(file_status,FileStatus)
(clear_error,ClearError)
(replace_trackers,ReplaceTrackers)
(remove_url_seed,RemoveUrlSeed)
(url_seeds,UrlSeeds)
(remove_http_seed,RemoveHttpSeed)
(http_seeds,HttpSeeds)
(set_metadata,SetMetadata)
(resume,Resume)
(stop_when_ready,StopWhenReady)
(set_upload_mode,SetUploadMode)
(set_share_mode,SetShareMode)
(flush_cache,FlushCache)
(apply_ip_filter,ApplyIpFilter)
(force_recheck,ForceRecheck)
(save_resume_data,SaveResumeData)
(need_save_resume_data,NeedSaveResumeData)
(auto_managed,AutoManaged)
(queue_position,QueuePosition)
(queue_position_up,QueuePositionUp)
(queue_position_down,QueuePositionDown)
(queue_position_top,QueuePositionTop)
(queue_position_bottom,QueuePositionBottom)
(set_ssl_certificate,SetSslCertificate)
(set_ssl_certificate_buffer,SetSslCertificateBuffer)
(torrent_file,TorrentFile)
(use_interface,UseInterface)
(piece_availability,PieceAvailability)
(piece_priority,PiecePriority)
(prioritize_pieces,PrioritizePieces)
(piece_priorities,PiecePriorities)
(file_priority,FilePriority)
(prioritize_files,PrioritizeFiles)
(file_priorities,FilePriorities)
(force_reannounce,ForceReannounce)
(force_dht_announce,ForceDhtAnnounce)
(scrape_tracker,ScrapeTracker)
(set_upload_limit,SetUploadLimit)
(upload_limit,UploadLimit)
(set_download_limit,SetDownloadLimit)
(download_limit,DownloadLimit)
(set_sequential_download,SetSequentialDownload)
(connect_peer,ConnectPeer)
(set_max_uploads,SetMaxUploads)
(max_uploads,MaxUploads)
(set_max_connections,SetMaxConnections)
(max_connections,MaxConnections)
(move_storage,MoveStorage)
(super_seeding,SuperSeeding)
(id,Id)
(bencode,DoBEncode)
(0,endpoint)
(1,endpoint)
(handle,TorrentHandle)
(torrent_file,TorrentInfo)
(endpoint,endpoint)
