(save_state,save_state)
(load_state,load_state)
(post_torrent_updates,post_torrent_updates)
(get_torrents,get_torrents)
(find_torrent,find_torrent)
(add_torrent,add_torrent)
(async_add_torrent,async_add_torrent)
(pause,pause)
(resume,resume)
(is_paused,is_paused)
(status,status)
(get_cache_status,get_cache_status)
(get_cache_info,get_cache_info)
(add_feed,add_feed)
(remove_feed,remove_feed)
(get_feeds,get_feeds)
(start_dht,start_dht)
(stop_dht,stop_dht)
(set_dht_settings,set_dht_settings)
(add_dht_node,add_dht_node)
(add_dht_router,add_dht_router)
(is_dht_running,is_dht_running)
(add_extension,add_extension)
(load_asnum_db,load_asnum_db)
(load_country_db,load_country_db)
(set_ip_filter,set_ip_filter)
(get_ip_filter,get_ip_filter)
(set_peer_id,set_peer_id)
(id,id)
(is_listening,is_listening)
(listen_port,listen_port)
(listen_on,listen_on)
(remove_torrent,remove_torrent)
(set_settings,set_settings)
(settings,settings)
(set_proxy,set_proxy)
(proxy,proxy)
(pop_alert,pop_alert)
(pop_alerts,pop_alerts)
(set_alert_mask,set_alert_mask)
(wait_for_alert,wait_for_alert)
(start_lsd,start_lsd)
(start_natpmp,start_natpmp)
(stop_upnp,stop_upnp)
(stop_lsd,stop_lsd)
(stop_natpmp,stop_natpmp)
(add_rule,add_rule)
(access,access)
(export_filter,export_filter)
(remap_files,remap_files)
(add_tracker,add_tracker)
(add_url_seed,add_url_seed)
(add_http_seed,add_http_seed)
(web_seeds,web_seeds)
(name,name)
(comment,comment)
(creator,creator)
(total_size,total_size)
(piece_length,piece_length)
(num_pieces,num_pieces)
(info_hash,info_hash)
(hash_for_piece,hash_for_piece)
(merkle_tree,merkle_tree)
(set_merkle_tree,set_merkle_tree)
(piece_size,piece_size)
(num_files,num_files)
(file_at,file_at)
(files,files)
(orig_files,orig_files)
(rename_file,rename_file)
(priv,priv)
(trackers,trackers)
(creation_date,creation_date)
(add_node,add_node)
(nodes,nodes)
(metadata,metadata)
(metadata_size,metadata_size)
(map_block,map_block)
(map_file,map_file)
(bdecode,bdecode)
(bencode,bencode)
(generate,generate)
(set_comment,set_comment)
(set_creator,set_creator)
(set_hash,set_hash)
(set_file_hash,set_file_hash)
(set_priv,set_priv)
(set_root_cert,set_root_cert)
(add_files,add_files)
(set_piece_hashes,set_piece_hashes)
(update_feed,update_feed)
(get_feed_status,get_feed_status)
(is_valid,is_valid)
(add_file,add_file)
(at,at)
(set_num_pieces,set_num_pieces)
(set_piece_length,set_piece_length)
(set_name,set_name)
(to_string,to_string)
(get_peer_info,get_peer_info)
(get_download_queue,get_download_queue)
(file_progress,file_progress)
(replace_trackers,replace_trackers)
(remove_url_seed,remove_url_seed)
(url_seeds,url_seeds)
(remove_http_seed,remove_http_seed)
(http_seeds,http_seeds)
(get_torrent_info,get_torrent_info)
(set_metadata,set_metadata)
(clear_error,clear_error)
(set_priority,set_priority)
(super_seeding,super_seeding)
(auto_managed,auto_managed)
(queue_position,queue_position)
(queue_position_up,queue_position_up)
(queue_position_down,queue_position_down)
(queue_position_top,queue_position_top)
(queue_position_bottom,queue_position_bottom)
(resolve_countries,resolve_countries)
(add_piece,add_piece)
(read_piece,read_piece)
(have_piece,have_piece)
(set_piece_deadline,set_piece_deadline)
(reset_piece_deadline,reset_piece_deadline)
(piece_availability,piece_availability)
(piece_priority,piece_priority)
(prioritize_pieces,prioritize_pieces)
(piece_priorities,piece_priorities)
(prioritize_files,prioritize_files)
(file_priorities,file_priorities)
(file_priority,file_priority)
(use_interface,use_interface)
(save_resume_data,save_resume_data)
(need_save_resume_data,need_save_resume_data)
(force_reannounce,force_reannounce)
(force_dht_announce,force_dht_announce)
(scrape_tracker,scrape_tracker)
(set_upload_mode,set_upload_mode)
(set_share_mode,set_share_mode)
(flush_cache,flush_cache)
(apply_ip_filter,apply_ip_filter)
(set_upload_limit,set_upload_limit)
(set_download_limit,set_download_limit)
(upload_limit,upload_limit)
(download_limit,download_limit)
(set_sequential_download,set_sequential_download)
(connect_peer,connect_peer)
(save_path,save_path)
(set_max_uploads,set_max_uploads)
(max_uploads,max_uploads)
(set_max_connections,set_max_connections)
(max_connections,max_connections)
(set_tracker_login,set_tracker_login)
(move_storage,move_storage)
(force_recheck,force_recheck)
(set_ssl_certificate,set_ssl_certificate)
