(build,Build)
(start,Start)
(stop,Stop)
(erase,Erase)
(setAutostart,SetAutostart)
(getAutostart,GetAutostart)
(getInfo,GetInfo)
(getName,GetName)
(getUUID,GetUUID)
(undefine,Undefine)
(toXml,ToXml)
(isActive,IsActive)
(isPersistent,IsPersistent)
(getVolumes,GetVolumes)
(refresh,Refresh)
(createVolume,StorageVolume)
(cloneVolume,StorageVolume)
(lookupStorageVolumeByName,StorageVolume)
(destroy,Destroy)
(reboot,Reboot)
(shutdown,Shutdown)
(reset,Reset)
(resume,Resume)
(suspend,Suspend)
(save,Save)
(managedSave,ManagedSave)
(managedSaveRemove,ManagedSaveRemove)
(abortCurrentJob,AbortCurrentJob)
(coreDump,CoreDump)
(attachDevice,AttachDevice)
(detachDevice,DetachDevice)
(updateDevice,UpdateDevice)
(sendKeys,SendKeys)
(memoryPeek,MemoryPeek)
(blockPeek,BlockPeek)
(migrate,Migrate)
(pinVcpu,PinVcpu)
(getId,GetId)
(getOSType,GetOSType)
(getMaxMemory,GetMaxMemory)
(setMaxMemory,SetMaxMemory)
(setMemory,SetMemory)
(getMaxVcpus,GetMaxVcpus)
(isUpdated,IsUpdated)
(getMetadata,GetMetadata)
(setMetadata,SetMetadata)
(getBlockInfo,GetBlockInfo)
(getBlockStats,GetBlockStats)
(getSchedulerType,GetSchedulerType)
(getSchedulerParameters,GetSchedulerParameters)
(getSecurityLabel,GetSecurityLabel)
(hasManagedSaveImage,HasManagedSaveImage)
(getInterfaceStats,GetInterfaceStats)
(getJobInfo,GetJobInfo)
(getMemoryStats,GetMemoryStats)
(getVcpus,GetVcpus)
(setVcpus,SetVcpus)
(blockCommit,BlockCommit)
(blockJobInfo,BlockJobInfo)
(blockJobAbort,BlockJobAbort)
(setSchedulerParameters,SetSchedulerParameters)
(setMigrationMaxDowntime,SetMigrationMaxDowntime)
(hasCurrentSnapshot,HasCurrentSnapshot)
(revertToSnapshot,RevertToSnapshot)
(takeSnapshot,TakeSnapshot)
(getCurrentSnapshot,GetCurrentSnapshot)
(deleteSnapshot,DeleteSnapshot)
(lookupSnapshotByName,LookupSnapshotByName)
(getSnapshots,GetSnapshots)
(registerEvent,RegisterEvent)
(unregisterEvent,UnregisterEvent)
(connect,Connect)
(disconnect,Disconnect)
(getCapabilities,GetCapabilities)
(getHostname,GetHostname)
(getSysInfo,GetSysInfo)
(getType,GetType)
(getConnectionUri,GetConnectionUri)
(getVersion,GetVersion)
(getLibVirtVersion,GetLibVirtVersion)
