(getRef,GetRef)
(setRef,SetRef)
(column,Column)
(columnSize,ColumnSize)
(columnByIndex,ColumnByIndex)
(getSortRange,GetSortRange)
(sortLevels,SortLevels)
(getSort,GetSort)
(setSort,SetSort)
(addSort,AddSort)
(title,Title)
(setTitle,SetTitle)
(subject,Subject)
(setSubject,SetSubject)
(creator,Creator)
(setCreator,SetCreator)
(lastModifiedBy,LastModifiedBy)
(setLastModifiedBy,SetLastModifiedBy)
(created,Created)
(setCreated,SetCreated)
(createdAsDouble,CreatedAsDouble)
(setCreatedAsDouble,SetCreatedAsDouble)
(modified,Modified)
(setModified,SetModified)
(modifiedAsDouble,ModifiedAsDouble)
(setModifiedAsDouble,SetModifiedAsDouble)
(tags,Tags)
(setTags,SetTags)
(categories,Categories)
(setCategories,SetCategories)
(comments,Comments)
(setComments,SetComments)
(removeAll,RemoveAll)
(addRange,AddRange)
(addRule,AddRule)
(addTopRule,AddTopRule)
(addOpNumRule,AddOpNumRule)
(addOpStrRule,AddOpStrRule)
(addAboveAverageRule,AddAboveAverageRule)
(addTimePeriodRule,AddTimePeriodRule)
(add2ColorScaleRule,Add2ColorScaleRule)
(add2ColorScaleFormulaRule,Add2ColorScaleFormulaRule)
(add3ColorScaleRule,Add3ColorScaleRule)
(add3ColorScaleFormulaRule,Add3ColorScaleFormulaRule)
(objectType,ObjectType)
(checked,Checked)
(setChecked,SetChecked)
(fmlaGroup,FmlaGroup)
(setFmlaGroup,SetFmlaGroup)
(fmlaLink,FmlaLink)
(setFmlaLink,SetFmlaLink)
(fmlaRange,FmlaRange)
(setFmlaRange,SetFmlaRange)
(fmlaTxbx,FmlaTxbx)
(setFmlaTxbx,SetFmlaTxbx)
(name,Name)
(linkedCell,LinkedCell)
(listFillRange,ListFillRange)
(macro,Macro)
(altText,AltText)
(locked,Locked)
(defaultSize,DefaultSize)
(print,Print)
(disabled,Disabled)
(item,Item)
(itemSize,ItemSize)
(addItem,AddItem)
(insertItem,InsertItem)
(clearItems,ClearItems)
(dropLines,DropLines)
(setDropLines,SetDropLines)
(dx,Dx)
(setDx,SetDx)
(firstButton,FirstButton)
(setFirstButton,SetFirstButton)
(horiz,Horiz)
(setHoriz,SetHoriz)
(inc,Inc)
(setInc,SetInc)
(getMax,GetMax)
(setMax,SetMax)
(getMin,GetMin)
(setMin,SetMin)
(multiSel,MultiSel)
(setMultiSel,SetMultiSel)
(sel,Sel)
(setSel,SetSel)
(fromAnchor,FromAnchor)
(toAnchor,ToAnchor)
(name,name)
(size,size)
