(spos,Number)
(initializeLogger,InitializeLogger)
(registerFormat,RegisterFormat)
(addCategory,AddCategory)
(getEmitLevel,GetEmitLevel)
(setEmitLevel,SetEmitLevel)
(getMsgTimeLimit,GetMsgTimeLimit)
(setMsgTimeLimit,SetMsgTimeLimit)
(getMsgSlotLimit,GetMsgSlotLimit)
(setMsgSlotLimit,SetMsgSlotLimit)
(processMsgsReserveBlock,ProcessMsgsReserveBlock)
(processMsgsForEmit,ProcessMsgs)
(processMsgsComplete,ProcessMsgsComplete)
(abortAsyncWork,AbortAsyncWork)
(formatMsgsSync,FormatMsgsSync)
(formatMsgsAsync,FormatMsgsAsync)
(hasWorkPending,HasWorkPending)
