(setBufsize,SetBufsize)
(resetUnderlying,ResetUnderlying)
(code,Code)
(memusage,Memusage)
(memlimitGet,MemlimitGet)
(memlimitSet,MemlimitSet)
(rawEncoder_,RawEncoder)
(rawDecoder_,RawDecoder)
(filtersUpdate,FiltersUpdate)
(easyEncoder_,EasyEncoder)
(streamEncoder_,StreamEncoder)
(aloneEncoder,AloneEncoder)
(mtEncoder_,MTEncoder)
(streamDecoder_,StreamDecoder)
(autoDecoder_,AutoDecoder)
(aloneDecoder_,AloneDecoder)
(init,Init)
(feed,Feed)
(parse,Parse)
(versionNumber,lzmaVersionNumber)
(versionString,lzmaVersionString)
(checkIsSupported,lzmaCheckIsSupported)
(checkSize,lzmaCheckSize)
(crc32_,lzmaCRC32)
(filterEncoderIsSupported,lzmaFilterEncoderIsSupported)
(filterDecoderIsSupported,lzmaFilterDecoderIsSupported)
(rawEncoderMemusage,lzmaRawEncoderMemusage)
(rawDecoderMemusage,lzmaRawDecoderMemusage)
(mfIsSupported,lzmaMfIsSupported)
(modeIsSupported,lzmaModeIsSupported)
(easyEncoderMemusage,lzmaEasyEncoderMemusage)
(easyDecoderMemusage,lzmaEasyDecoderMemusage)
(asyncCodeAvailable,LZMAStream)
